

"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"Microservices: Yesterday, today, and tomorrow","Dragoni, N.| Giallorenzo, S.| Lafuente, A.L.| Mazzara, M.| Montesi, F.| Mustafin, R.| Safina, L.","7","8308455900| 55932233200| 9245337700| 8557895400| 24475076500| 57200573284| 57190293089","2017","Present and Ulterior Software Engineering","13.29","145","268","172.44","1","1","Dragoni, N., Giallorenzo, S., Lafuente, A.L. and 4 more (...) (2017).Microservices: Yesterday, today, and tomorrow. Present and Ulterior Software Engineering,195-216","https://www.scopus.com/record/display.url?eid=2-s2.0-85054938535&origin=resultslist","10.1007/978-3-319-67425-4_12","Chapter","2-s2.0-85054938535","University of Southern Denmark| Technical University of Denmark| Innopolis University| University of Bologna","60011373| 60028218| 60105869| 60019160","Danmarks Tekniske Universitet| Alma Mater Studiorum Università di Bologna| Innopolis University| Syddansk Universitet","Denmark| Italy| Russian Federation","1700","General Computer Science","Verification,Model Checking,Semantics","96","Concurrent Programming,Operational Semantics,Type Systems","15494","71.151","83.631"
"Human Facial Expression Recognition Using Stepwise Linear Discriminant Analysis and Hidden Conditional Random Fields","Siddiqi, M.H.| Ali, R.| Khan, A.M.| Park, Y.-T.| Lee, S.","5","35146598600| 24775152600| 16679109100| 7405374256| 8956579500","2015","IEEE Transactions on Image Processing","3.15","69","112","5.13","1","3","Siddiqi, M.H., Ali, R., Khan, A.M. and 2 more (...) (2015).Human Facial Expression Recognition Using Stepwise Linear Discriminant Analysis and Hidden Conditional Random Fields. IEEE Transactions on Image Processing,24(4) 1386-1398","https://www.scopus.com/record/display.url?eid=2-s2.0-84924605599&origin=resultslist","10.1109/TIP.2015.2405346","Article","2-s2.0-84924605599","Kyung Hee University| Soongsil University| Innopolis University","60001873| 60105869| 60014156","Kyung Hee University| Innopolis University| Soongsil University","South Korea| Russian Federation","1704| 1712","Computer Graphics and Computer-Aided Design| Software","Algorithms,Computer Vision,Models","0","Emotion Recognition,Facial Expression,Smile","859","99.799","99.393"
"Autonomous Cars: Research Results, Issues, and Future Challenges","Hussain, R.| Zeadally, S.","2","35324500900| 7003472739","2019","IEEE Communications Surveys and Tutorials","10.78","346","54","6.56","1","2","Hussain, R., Zeadally, S. (2019).Autonomous Cars: Research Results, Issues, and Future Challenges. IEEE Communications Surveys and Tutorials,21(2) 1275-1313","https://www.scopus.com/record/display.url?eid=2-s2.0-85053111778&origin=resultslist","10.1109/COMST.2018.2869360","Review","2-s2.0-85053111778","University of Kentucky| Innopolis University","60105869| 60015941","Innopolis University| University of Kentucky","United States| Russian Federation","2208","Electrical and Electronic Engineering","Embedded Systems,Scheduling,Real Time Systems","667","Connected Vehicles,CAN Bus,Electronic Control","30428","53.949","97.708"
"A new comprehensive RSU installation strategy for cost-efficient VANET deployment","Kim, D.| Velasco, Y.| Wang, W.| Uma, R.N.| Hussain, R.| Lee, S.","6","36077730500| 57189239017| 56948400200| 7004588828| 35324500900| 35783192300","2017","IEEE Transactions on Vehicular Technology","0.91","25","49","2.72","3","8","Kim, D., Velasco, Y., Wang, W. and 3 more (...) (2017).A new comprehensive RSU installation strategy for cost-efficient VANET deployment. IEEE Transactions on Vehicular Technology,66(5) 4200-4211","https://www.scopus.com/record/display.url?eid=2-s2.0-85021729251&origin=resultslist","10.1109/TVT.2016.2598253","Review","2-s2.0-85021729251","North Carolina Central University| Innopolis University| Xi'an Jiaotong University| Kongju National University| Kennesaw State University","60019740| 60032941| 60018308| 60105869| 60103616","Kennesaw State University| North Carolina Central University| Xi'an Jiaotong University| Innopolis University| Kongju National University","South Korea| China| United States| Russian Federation","2202| 2203| 2208| 2604","Aerospace Engineering| Automotive Engineering| Electrical and Electronic Engineering| Applied Mathematics","Wireless Sensor Networks,Sensor Nodes,Routing Protocols","27","Vehicular Ad Hoc Networks,Roadsides,Infotainment","30956","97.992","93.824"
"Visual and kinesthetic modes affect motor imagery classification in untrained subjects","Chholak, P.| Niso, G.| Maksimenko, V.A.| Kurkin, S.A.| Frolov, N.S.| Pitsik, E.N.| Hramov, A.E.| Pisarchik, A.N.","8","57202377690| 55774526600| 56572360300| 35334432000| 16498801300| 57192586726| 6603156741| 7005864666","2019","Scientific Reports","2.87","64","47","7.81","1","2","Chholak, P., Niso, G., Maksimenko, V.A. and 5 more (...) (2019).Visual and kinesthetic modes affect motor imagery classification in untrained subjects. Scientific Reports,9(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85068778382&origin=resultslist","10.1038/s41598-019-46310-9","Article","2-s2.0-85068778382","Technical University of Madrid| CIBER - Center for Biomedical Research Network| Innopolis University","60028442| 60105869| 60028442| 60085101","Universidad Politécnica de Madrid| Innopolis University| Universidad Politécnica de Madrid| CIBER Bioingenieria, Biomateriales y Nanomedicina","Spain| Russian Federation","1000","Multidisciplinary","Attention,Brain,Learning","10","Motor Imagery,Mental Rotation,Kinesthetic","2051","97.189","95.755"
"Design of secure key management and user authentication scheme for fog computing services","Wazid, M.| Das, A.K.| Kumar, N.| Vasilakos, A.V.","4","55480987400| 55450732800| 57206866080| 57200495061","2019","Future Generation Computer Systems","2.08","89","45","10.26","1","1","Wazid, M., Das, A.K., Kumar, N. and 1 more (...) (2019).Design of secure key management and user authentication scheme for fog computing services. Future Generation Computer Systems,91475-492","https://www.scopus.com/record/display.url?eid=2-s2.0-85054039812&origin=resultslist","10.1016/j.future.2018.09.017","Article","2-s2.0-85054039812","Luleå University of Technology| Thapar University| Innopolis University| International Institute of Information Technology Hyderabad","60105869| 60000163| 60001166| 60007183","Innopolis University| International Institute of Information Technology, Hyderabad| Thapar Institute of Engineering & Technology| Luleå tekniska Universitet","India| Russian Federation| Sweden","1705| 1708| 1712","Computer Networks and Communications| Hardware and Architecture| Software","Cryptography,Authentication,Data Privacy","84","Key Agreement,User Authentication,Multi-Server","3363","97.256","98.623"
"Microservices: How to make your application scale","Dragoni, N.| Lanese, I.| Larsen, S.T.| Mazzara, M.| Mustafin, R.| Safina, L.","6","8308455900| 8984182000| 57200579924| 8557895400| 57200573284| 57190293089","2018","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8.05","92","45","17.61","2","1","Dragoni, N., Lanese, I., Larsen, S.T. and 3 more (...) (2018).Microservices: How to make your application scale. Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),1074295-104","https://www.scopus.com/record/display.url?eid=2-s2.0-85041714438&origin=resultslist","10.1007/978-3-319-74313-4_8","Conference Paper","2-s2.0-85041714438","University of Southern Denmark| Örebro University| Technical University of Denmark| University of Bologna| Innopolis University","60011373| 60028218| 60105869| 60019160| 60008141","Danmarks Tekniske Universitet| Alma Mater Studiorum Università di Bologna| Innopolis University| Syddansk Universitet| Örebro Universitet","Italy| Denmark| Russian Federation| Sweden","1700| 2614","General Computer Science| Theoretical Computer Science","Verification,Model Checking,Semantics","96","Concurrent Programming,Operational Semantics,Type Systems","15494","71.151","83.631"
"Remote health monitoring of elderly through wearable sensors","Al-khafajiy, M.| Baker, T.| Chalmers, C.| Asim, M.| Kolivand, H.| Fahim, M.| Waraich, A.","7","57204396422| 34267505000| 57014950600| 57200862047| 45061059500| 36606049200| 13609831100","2019","Multimedia Tools and Applications","2.84","46","43","10.71","1","1","Al-khafajiy, M., Baker, T., Chalmers, C. and 4 more (...) (2019).Remote health monitoring of elderly through wearable sensors. Multimedia Tools and Applications,78(17) 24681-24706","https://www.scopus.com/record/display.url?eid=2-s2.0-85060590536&origin=resultslist","10.1007/s11042-018-7134-7","Article","2-s2.0-85060590536","National University of Computer and Emerging Sciences, Islamabad| Innopolis University","122034088| 60070603| 60105869","Faculty of Engineering and Technology - Department of Computer Science| National University of Computer and Emerging Sciences Islamabad| Innopolis University","United Kingdom| Pakistan| Russian Federation","1705| 1708| 1712| 2214","Computer Networks and Communications| Hardware and Architecture| Software| Media Technology","Sensors,Accelerometers,Smartphones","880","Activity Recognition,Smart Home,Ambient Assisted Living","4263","71.419","98.847"
"Authentication in cloud-driven IoT-based big data environment: Survey and outlook","Wazid, M.| Das, A.K.| Hussain, R.| Succi, G.| Rodrigues, J.J.P.C.","5","55480987400| 55450732800| 35324500900| 7004757466| 25930566300","2019","Journal of Systems Architecture","5.67","99","38","8.39","1","2","Wazid, M., Das, A.K., Hussain, R. and 2 more (...) (2019).Authentication in cloud-driven IoT-based big data environment: Survey and outlook. Journal of Systems Architecture,97185-196","https://www.scopus.com/record/display.url?eid=2-s2.0-85059459091&origin=resultslist","10.1016/j.sysarc.2018.12.005","Article","2-s2.0-85059459091","Universidade de Fortaleza| Innopolis University| Instituto de Telecomunicacoes| International Institute of Information Technology Hyderabad","60105869| 60000163| 60105869| 101468858| 60017375| 60015440","Innopolis University| International Institute of Information Technology, Hyderabad| Innopolis University| National Institute of Telecommunications (Inatel)| Instituto de Telecomunicacoes| Universidade de Fortaleza","India| Portugal| Russian Federation| Brazil","1708| 1712","Hardware and Architecture| Software","Cryptography,Authentication,Data Privacy","84","Key Agreement,User Authentication,Multi-Server","3363","97.256","98.623"
"From Monolithic to Microservices: An Experience Report from the Banking Domain","Bucchiarone, A.| Dragoni, N.| Dustdar, S.| Larsen, S.T.| Mazzara, M.","5","13105059800| 8308455900| 6701473617| 57200579924| 8557895400","2018","IEEE Software","1.18","41","37","2.87","2","8","Bucchiarone, A., Dragoni, N., Dustdar, S. and 2 more (...) (2018).From Monolithic to Microservices: An Experience Report from the Banking Domain. IEEE Software,35(3) 50-55","https://www.scopus.com/record/display.url?eid=2-s2.0-85046855472&origin=resultslist","10.1109/MS.2018.2141026","Review","2-s2.0-85046855472","Fondazione Bruno Kessler| Technical University of Denmark| Vienna University of Technology| Innopolis University","60083112| 60011373| 60018163| 120671753| 60105869","Bruno Kessler Foundation| Danmarks Tekniske Universitet| Technische Universitat Wien| Danske Bank| Innopolis University","Austria| Italy| Denmark| Russian Federation","1712","Software","Software Engineering,Models,Software Design","49","Software Architecture,Architects,Agile","10104","91.901","88.035"
