
"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"Oil spill problems and sustainable response strategies through new technologies","Ivshina, I.B.| Kuyukina, M.S.| Krivoruchko, A.V.| Elkin, A.A.| Makarov, S.O.| Cunningham, C.J.| Peshkur, T.A.| Atlas, R.M.| Philp, J.C.","9","6701606381| 6603140098| 55645780300| 55573688800| 7102637051| 7201736245| 6506821401| 35429567800| 7006662409","2015","Environmental Sciences: Processes and Impacts","3.75","230","147","2.97","1","8","Ivshina, I.B., Kuyukina, M.S., Krivoruchko, A.V. and 6 more (...) (2015).Oil spill problems and sustainable response strategies through new technologies. Environmental Sciences: Processes and Impacts,17(7) 1201-1219","https://www.scopus.com/record/display.url?eid=2-s2.0-84936937979&origin=resultslist","10.1039/c5em00070j","Review","2-s2.0-84936937979","University of Louisville| University of Strathclyde| Perm State National Research University| RAS - Institute of Ecology and Genetics of Microorganisms, Ural Branch| Organisation for Economic Co-operation and Development| RAS - Ural Branch","60072266| 60109740| 60023914| 60024724| 60020633| 60009357","Ural Branch, Russian Academy of Sciences| Institute of Ecology and Genetics of Microorganisms, Ural Branch of the Russian Academy of Sciences| Perm State University| University of Strathclyde| University of Louisville| L'Organisation de Coopération et de Développement Economiques","United Kingdom| United States| France| Russian Federation","2304| 2308| 2739","Environmental Chemistry| Management, Monitoring, Policy and Law| Public Health, Environmental and Occupational Health","Drops,Hydrophobicity,Contact Angle","374","Oil Pollution,Hydrophobicity,Aerogels","4718","95.783","99.929"
"Furan's gambit: Electrophile-attack-triggered sacrifice of furan rings for the intramolecular construction of azaheterocycles","Trushkov, I.V.| Uchuskin, M.G.| Butin, A.V.","3","6507174399| 24081771500| 6602178447","2015","European Journal of Organic Chemistry","2.55","162","45","1.23","5","24","Trushkov, I.V., Uchuskin, M.G., Butin, A.V. (2015).Furan's gambit: Electrophile-attack-triggered sacrifice of furan rings for the intramolecular construction of azaheterocycles. European Journal of Organic Chemistry,2015(14) 2999-3016","https://www.scopus.com/record/display.url?eid=2-s2.0-84928792407&origin=resultslist","10.1002/ejoc.201403580","Review","2-s2.0-84928792407","Perm State National Research University| RAS - Institute of Technical Chemistry, Ural Branch| Lomonosov Moscow State University","60007457| 101573827| 60023914| 60109739","Lomonosov Moscow State University| Federal Research Center of Pediatric Hematology| Perm State University| Institute of Technical Chemistry of Ural Branch of the RAS","Russian Federation","1605| 1606","Organic Chemistry| Physical and Theoretical Chemistry","Wood,Timber,Wood Products","302","Fuzzy Data,Furans,Quality Management","51468","73.628","15.563"
"Immiscible hydrous Fe-Ca-P melt and the origin of iron oxide-apatite ore deposits","Hou, T.| Charlier, B.| Holtz, F.| Veksler, I.| Zhang, Z.| Thomas, R.| Namur, O.","7","35490714600| 8529636800| 7005135370| 7007135827| 8597427000| 55660878500| 26664835900","2018","Nature Communications","5.02","98","44","4.4","2","4","Hou, T., Charlier, B., Holtz, F. and 4 more (...) (2018).Immiscible hydrous Fe-Ca-P melt and the origin of iron oxide-apatite ore deposits. Nature Communications,9(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85045525015&origin=resultslist","10.1038/s41467-018-03761-4","Article","2-s2.0-85045525015","Helmholtz Centre Potsdam - German Research Centre for Geosciences| Perm State National Research University| Leibniz University Hannover| China University of Geosciences, Beijing| University of Liege| KU Leuven","60004935| 60009409| 60130044| 60000964| 60030245| 60023914| 60025063","Gottfried Wilhelm Leibniz Universität Hannover| China University of Geosciences, Beijing| State Key Lab for Geological Processes and Mineral Resources| Universite de Liege| Deutsches GeoForschungsZentrum (GFZ)| Perm State University| KU Leuven","Belgium| China| Germany| Russian Federation","1300| 1600| 3100","General Biochemistry,Genetics and Molecular Biology| General Chemistry| General Physics and Astronomy","Zircon,Uranium-Lead Dating,Geochronology","2","Apatites,Ferroactinolite,Hydrothermal Fluid","27702","96.519","83.778"
"Organic chemistry. History and mutual relations of universities of Russia","Antipin, I.S.| Kazymova, M.A.| Kuznetsov, M.A.| Vasilyev, A.V.| Ishchenko, M.A.| Kiryushkin, A.A.| Kuznetsova, L.M.| Makarenko, S.V.| Ostrovskii, V.A.| Petrov, M.L.| Solod, O.V.| Trishin, Y.G.| Yakovlev, I.P.| Nenaidenko, V.G.| Beloglazkina, E.K.| Beletskaya, I.P.| Ustynyuk, Y.A.| Solov’ev, P.A.| Ivanov, I.V.| Malina, E.V.| Sivova, N.V.| Negrebetskii, V.V.| Baukov, Y.I.| Pozharskaya, N.A.| Traven’, V.F.| Shchekotikhin, A.E.| Varlamov, A.V.| Borisova, T.N.| Lesina, Y.A.| Krasnokutskaya, E.A.| Rogozhnikov, S.I.| Shurov, S.N.| Kustova, T.P.| Klyuev, M.V.| Khelevina, O.G.| Stuzhin, P.A.| Fedorov, A.Y.| Gushchin, A.V.| Dodonov, V.A.| Kolobov, A.V.| Plakhtinskii, V.V.| Orlov, V.Y.| Kriven’ko, A.P.| Fedotova, O.V.| Pchelintseva, N.V.| Charushin, V.N.| Chupakhin, O.N.| Klimochkin, Y.N.| Klimochkina, A.Y.| Kuryatnikov, V.N.| Malinovskaya, Y.A.| Levina, A.S.| Zhuravlev, O.E.| Voronchikhina, L.I.| Fisyuk, A.S.| Aksenov, A.V.| Aksenov, N.A.| Aksenova, I.V.","58","7003413209| 6602630961| 56403462800| 7006302601| 7005157425| 57197820208| 16483489800| 7004182053| 7103143475| 7201906294| 9045204900| 7003556344| 7004453736| 35495423300| 57194080613| 35069022600| 7006522273| 35093286900| 34770109800| 57197811089| 6508214386| 6701671737| 7003413390| 57191199016| 57208522812| 6602658689| 9271394300| 57095541300| 8668115300| 6603407469| 57197807485| 6701506587| 6603679916| 7003755979| 7004186964| 7003926722| 57210239812| 35613026000| 7102012409| 7006432477| 6602528008| 7401885267| 7006548276| 8946653200| 6602651300| 7006350819| 7006259116| 6603723001| 57219105692| 57197817314| 6506686345| 57214539813| 36440750100| 55445985100| 6602453024| 7005446472| 26027400300| 57204347471","2017","Russian Journal of Organic Chemistry","7.41","307","35","1.59","4","18","Antipin, I.S., Kazymova, M.A., Kuznetsov, M.A. and 55 more (...) (2017).Organic chemistry. History and mutual relations of universities of Russia. Russian Journal of Organic Chemistry,53(9) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85034957236&origin=resultslist","10.1134/S1070428017090019","Review","2-s2.0-85034957236","Russian Ministry of Health| Saint Petersburg State University of Industrial Technologies and Design| Tver State University| Lomonosov Moscow State University| Nizhny Novgorod State University| Kazan Volga Region Federal University| Yaroslavl State Pedagogical University named after K.D. Ushinsky| Mendeleev University of Chemical Technology| Saint-Petersburg State Forestry University| St. Petersburg State Institute of Technology| Omsk State University| Herzen Russian State Pedagogical University| North-Caucasus Federal University| Ural Federal University| Ivanovo State University of Chemical Technology| Omsk State Technical University| Perm State National Research University| Ivanovo State University| Russian Academy of Medical Sciences| People's Friendship University of Russia| Samara State Technical University| Saratov State University| Pirogov Russian National Research Medical University| St. Petersburg State University| Tomsk Polytechnic University| Yaroslavl State University| Yaroslavl State Technical University| Moscow Technological University","60070941| 60031888| 60084809| 60073860| 60015662| 60031888| 60069633| 60108069| 60007457| 60096204| 60070948| 60012138| 60109881| 60015024| 60024069| 60023914| 60008036| 60022520| 60008673| 60089042| 60017083| 60001420| 60068671| 60103702| 60021885| 60096204| 60025503| 60031116| 60075514| 60070541","Kazan Federal University| Saint Petersburg State University| Federal State Budgetary Educational Institution of Higher Education «Saint-Petersburg State Forest T| St. Petersburg State Technological Institute (Technical University)| Herzen State Pedagogical University of Russia| Saint Petersburg State University| Saint Petersburg State University of Industrial Technologies and Design| Saint Petersburg State Chemical Pharmaceutical Academy| Lomonosov Moscow State University| MIREA - Russian Technological University (RTU MIREA)| Pirogov Russian National Research Medical University (RNRMU)| Mendeleev University of Chemical Technology of Russia| Gause Institute of New Antibiotics RAMS| RUDN University| Tomsk Polytechnic University| Perm State University| Ivanovo State University| Ivanovo State University of Chemistry and Technology| Lobachevsky State University of Nizhni Novgorod| K.D. Ushinsky Yaroslavl State Pedagogical University| Yaroslavl State Technical University| Yaroslavl State University| Saratov State University| Ural Federal University| Samara State Technical University| MIREA - Russian Technological University (RTU MIREA)| Tverskoj Gosudarstvennyj Universitet| Omskij Gosudarstvennyj Universitet| Omsk State Technical University| North Caucasus Federal University","Russian Federation","1605","Organic Chemistry","Synthesis (Chemical),Derivatives,Pyridines","67","Chloroacetyl Chloride,Potassium Tert-Butoxide,Dicyanmethane","44700","88.755","24.799"
"Systemic inflammation and liver damage in HIV/hepatitis C virus coinfection","Shmagel, K.V.| Saidakova, E.V.| Shmagel, N.G.| Korolevskaya, L.B.| Chereshnev, V.A.| Robinson, J.| Grivel, J.-C.| Douek, D.C.| Margolis, L.| Anthony, D.D.| Lederman, M.M.","11","24081205900| 54882274000| 36020830900| 12243348800| 6602886513| 57212792201| 7005747009| 7003438553| 7102677602| 55538019600| 35227594000","2016","HIV Medicine","2.04","32","34","3.66","6","5","Shmagel, K.V., Saidakova, E.V., Shmagel, N.G. and 8 more (...) (2016).Systemic inflammation and liver damage in HIV/hepatitis C virus coinfection. HIV Medicine,17(8) 581-589","https://www.scopus.com/record/display.url?eid=2-s2.0-84983517096&origin=resultslist","10.1111/hiv.12357","Article","2-s2.0-84983517096","National Institutes of Health| Perm State National Research University| RAS - Institute of Ecology and Genetics of Microorganisms, Ural Branch| Russian Academy of Sciences| RAS - Institute of Immunology and Physiology, Ural Branch| Case Western Reserve University","60109740| 60021331| 60023914| 115135787| 60110214| 60000305| 60017777| 60006577","Institute of Ecology and Genetics of Microorganisms, Ural Branch of the Russian Academy of Sciences| Russian Academy of Sciences| Perm State University| Perm Regional Center for Protection against AIDS and Infectious Diseases| Institute of Immunology and Physiology of the Ural Branch of the Russian Academy of Sciences| Case Western Reserve University| National Institute of Child Health and Human Development (NICHD)| National Institutes of Health (NIH)","United States| Russian Federation","2719| 2725| 2736","Health Policy| Infectious Diseases| Pharmacology (medical)","Hepacivirus,Hepatitis B Virus,Hepatitis C","58","CXCR3 Receptor,Monokines,Chemokine CXCL9","31511","92.102","81.788"
"Hydrogenation properties of TiFe with Zr7Ni10 alloy as additive","Jain, P.| Gosselin, C.| Skryabina, N.| Fruchart, D.| Huot, J.","5","35104971200| 56485349500| 7003868123| 35497070800| 7103132498","2015","Journal of Alloys and Compounds","1.59","37","31","1.14","9","26","Jain, P., Gosselin, C., Skryabina, N. and 2 more (...) (2015).Hydrogenation properties of TiFe with Zr7Ni10 alloy as additive. Journal of Alloys and Compounds,636375-380","https://www.scopus.com/record/display.url?eid=2-s2.0-84924598698&origin=resultslist","10.1016/j.jallcom.2015.02.104","Article","2-s2.0-84924598698","Perm State National Research University| Université du Québec à Trois-Rivières| Université Grenoble Alpes","60021501| 60023914| 60108266","Université du Québec à Trois-Rivières| Perm State University| Institut NÉEL","France| Russian Federation| Canada","2210| 2211| 2505| 2506","Mechanical Engineering| Mechanics of Materials| Materials Chemistry| Metals and Alloys","Hydrogen Storage,Hydrides,Dehydrogenation","607","Hydrogen Storage,Metal Hydrides,Arc Melting","40445","71.553","81.223"
"Dehydration of Amides to Nitriles under Conditions of a Catalytic Appel Reaction","Shipilovskikh, S.A.| Vaganov, V.Y.| Denisova, E.I.| Rubtsov, A.E.| Malkov, A.V.","5","34168423100| 57200552482| 57200553849| 7007059861| 7007051806","2018","Organic Letters","19.77","397","30","3.96","3","5","Shipilovskikh, S.A., Vaganov, V.Y., Denisova, E.I. and 2 more (...) (2018).Dehydration of Amides to Nitriles under Conditions of a Catalytic Appel Reaction. Organic Letters,20(3) 728-731","https://www.scopus.com/record/display.url?eid=2-s2.0-85041570138&origin=resultslist","10.1021/acs.orglett.7b03862","Article","2-s2.0-85041570138","Perm State National Research University| Loughborough University| People's Friendship University of Russia","60023914| 60000891| 60015024","Perm State University| Loughborough University| RUDN University","United Kingdom| Russian Federation","1303| 1605| 1606","Biochemistry| Organic Chemistry| Physical and Theoretical Chemistry","Catalysis,Synthesis (Chemical),Catalysts","4","Nitriles,N-Cyano-N-Phenyl-P-Methylbenzenesulphonamide,Trimethylsilyl Cyanide","13426","99.732","95.673"
"Immiscible iron- and silica-rich liquids in the Upper Zone of the Bushveld Complex","Fischer, L.A.| Wang, M.| Charlier, B.| Namur, O.| Roberts, R.J.| Veksler, I.V.| Cawthorn, R.G.| Holtz, F.","8","56599862800| 57190158000| 8529636800| 26664835900| 57200260989| 7007135827| 7006060748| 7005135370","2016","Earth and Planetary Science Letters","4.33","71","28","2.03","8","13","Fischer, L.A., Wang, M., Charlier, B. and 5 more (...) (2016).Immiscible iron- and silica-rich liquids in the Upper Zone of the Bushveld Complex. Earth and Planetary Science Letters,443108-117","https://www.scopus.com/record/display.url?eid=2-s2.0-84961742949&origin=resultslist","10.1016/j.epsl.2016.03.016","Article","2-s2.0-84961742949","Technical University of Berlin| University of Münster| Perm State National Research University| Leibniz University Hannover| University of Pretoria| University of Liege| University of Tasmania| University of the Witwatersrand","60000401| 60004935| 60015356| 60000964| 60021902| 60011604| 60023914| 60016218","Westfälische Wilhelms-Universität Münster| Gottfried Wilhelm Leibniz Universität Hannover| University of Tasmania| Universite de Liege| Universiteit van Pretoria| Technical University of Berlin| Perm State University| University of Witwatersrand","Belgium| South Africa| Germany| Australia| Russian Federation","1901| 1906| 1908| 1912","Earth and Planetary Sciences (miscellaneous)| Geochemistry and Petrology| Geophysics| Space and Planetary Science","Zircon,Uranium-Lead Dating,Geochronology","2","Layered Intrusion,Immiscibility,Gabbro","12209","96.519","70.391"
"Orientational bistability and magneto-optical response in compensated ferronematic liquid crystals","Zakhlevnykh, A.N.| Petrov, D.A.","2","6507684830| 16507552000","2016","Journal of Magnetism and Magnetic Materials","1.65","52","24","2.22","10","12","Zakhlevnykh, A.N., Petrov, D.A. (2016).Orientational bistability and magneto-optical response in compensated ferronematic liquid crystals. Journal of Magnetism and Magnetic Materials,401188-195","https://www.scopus.com/record/display.url?eid=2-s2.0-84944754812&origin=resultslist","10.1016/j.jmmm.2015.10.025","Article","2-s2.0-84944754812","Perm State National Research University","60023914","Perm State University","Russian Federation","2504| 3104","Electronic, Optical and Magnetic Materials| Condensed Matter Physics","Liquid Crystals,Nematic Liquid Crystals,Liquid Crystal Displays","220","Nematic Liquid Crystals,Ferroelectric Materials,Electro-optics","8801","76.372","94.943"
"Interplay of coupling and common noise at the transition to synchrony in oscillator populations","Pimenova, A.V.| Goldobin, D.S.| Rosenblum, M.| Pikovsky, A.","4","56028201500| 8368187600| 56155843800| 7004628118","2016","Scientific Reports","0.97","20","24","1.18","10","25","Pimenova, A.V., Goldobin, D.S., Rosenblum, M. and 1 more (...) (2016).Interplay of coupling and common noise at the transition to synchrony in oscillator populations. Scientific Reports,6","https://www.scopus.com/record/display.url?eid=2-s2.0-85001907744&origin=resultslist","10.1038/srep38518","Article","2-s2.0-85001907744","University of Potsdam| Perm State National Research University| RAS - Institute of Continuous Media Mechanics, Ural Branch| Nizhny Novgorod State University","60026928| 60023914| 60021763| 60008673","Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Perm State University| Universität Potsdam| Lobachevsky State University of Nizhni Novgorod","Germany| Russian Federation","1000","Multidisciplinary","Synchronization,Chaotic Systems,Chaos Theory","210","Phase Response,Fitzhugh-Nagumo,Oscillators","18017","85.81","81.908"
