
"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"The effect of natural and forced melt convection on dendritic solidification in Ga-In alloys","Shevchenko, N.| Roshchupkina, O.| Sokolova, O.| Eckert, S.","4","7103199345| 36188535300| 56545301400| 7004291733","2015","Journal of Crystal Growth","2.92","80","42","2.61","6","9","Shevchenko, N., Roshchupkina, O., Sokolova, O. and 1 more (...) (2015).The effect of natural and forced melt convection on dendritic solidification in Ga-In alloys. Journal of Crystal Growth,4171-8","https://www.scopus.com/record/display.url?eid=2-s2.0-84925593805&origin=resultslist","10.1016/j.jcrysgro.2014.11.043","Article","2-s2.0-84925593805","Helmholtz-Zentrum Dresden-Rossendorf| Perm National Research Polytechnic University","60000086| 60023325","HZDR - Helmholtz-Zentrum Dresden-Rossendorf| Perm National Research Polytechnic University","Germany| Russian Federation","1604| 2505| 3104","Inorganic Chemistry| Materials Chemistry| Condensed Matter Physics","Magnesium Alloys,Alloys,Aluminum Alloys","106","Directional Solidification (Crystals),Dendritic Growth,Phase Field","1896","93.775","95.876"
"Mesoscopic magnetomechanical hysteresis in a magnetorheological elastomer","Biller, A.M.| Stolbov, O.V.| Raikher, Y.L.","3","56365281300| 8211902500| 7006593214","2015","Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","3.09","45","40","3.08","6","7","Biller, A.M., Stolbov, O.V., Raikher, Y.L. (2015).Mesoscopic magnetomechanical hysteresis in a magnetorheological elastomer. Physical Review E - Statistical, Nonlinear, and Soft Matter Physics,92(2) ","https://www.scopus.com/record/display.url?eid=2-s2.0-84940831013&origin=resultslist","10.1103/PhysRevE.92.023202","Article","2-s2.0-84940831013","Ural Federal University| Russian Academy of Sciences| Perm National Research Polytechnic University| RAS - Institute of Continuous Media Mechanics, Ural Branch","60026928| 60021331| 60023325| 60103702","Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Russian Academy of Sciences| Perm National Research Polytechnic University| Ural Federal University","Russian Federation","2613| 3104| 3109","Statistics and Probability| Condensed Matter Physics| Statistical and Nonlinear Physics","Vibration Control,Magnetorheological Fluids,Automobile Suspensions","652","Elastomers,Isolators,Sandwich Beam","9345","68.34","97.995"
"Comparison of algorithms for determination of rotation measure and faraday structure. I. 1100-1400 MHz","Sun, X.H.| Rudnick, L.| Akahori, T.| Anderson, C.S.| Bell, M.R.| Bray, J.D.| Farnes, J.S.| Ideguchi, S.| Kumazaki, K.| O'Brien, T.| O'Sullivan, S.P.| Scaife, A.M.M.| Stepanov, R.| Stil, J.| Takahashi, K.| Van Weeren, R.J.| Wolleben, M.","17","12753742400| 7003809880| 16456679000| 56390872200| 43360942700| 55555281100| 55978613100| 6603933607| 54883618700| 57208020887| 14027408700| 6603887796| 7005472384| 6602343935| 7409420164| 25032069300| 23011126400","2015","Astronomical Journal","2.08","25","36","1.64","7","17","Sun, X.H., Rudnick, L., Akahori, T. and 14 more (...) (2015).Comparison of algorithms for determination of rotation measure and faraday structure. I. 1100-1400 MHz. Astronomical Journal,149(2) ","https://www.scopus.com/record/display.url?eid=2-s2.0-84922330086&origin=resultslist","10.1088/0004-6256/149/2/60","Article","2-s2.0-84922330086","University of Minnesota Twin Cities| University of Sydney| Harvard University| Kumamoto University| University of Southampton| Nagoya University| Perm National Research Polytechnic University| Max Planck Institute for Astrophysics| University of Calgary| RAS - Institute of Continuous Media Mechanics, Ural Branch","60025709| 60029445| 60023091| 60025225| 60000264| 60026928| 60023325| 60002306| 60021120| 60020680","The University of Sydney| University of Minnesota Twin Cities| Max Planck Institute for Astrophysics| University of Southampton| Nagoya University| Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Perm National Research Polytechnic University| University of Calgary| Kumamoto University| Harvard-Smithsonian Center for Astrophysics","United Kingdom| Japan| United States| Germany| Australia| Russian Federation| Canada","1912| 3103","Space and Planetary Science| Astronomy and Astrophysics","Galaxies,Stars,Planets","1","Interstellar Magnetic Fields,Spiral Galaxies,Star Formation Rate","17467","99.331","85.714"
"Dynamic magnetization of ε -Fe2O3 in pulse field: Evidence of surface effect","Balaev, D.A.| Poperechny, I.S.| Krasikov, A.A.| Shaikhutdinov, K.A.| Dubrovskiy, A.A.| Popkov, S.I.| Balaev, A.D.| Yakushkin, S.S.| Bukhtiyarova, G.A.| Martyanov, O.N.| Raikher, Y.L.","11","7004211818| 35956761400| 55883846600| 6603648030| 19933316200| 6601905901| 7007169852| 36006594000| 6506348059| 6508377811| 7006593214","2015","Journal of Applied Physics","6.1","123","36","1.73","7","16","Balaev, D.A., Poperechny, I.S., Krasikov, A.A. and 8 more (...) (2015).Dynamic magnetization of ε -Fe2O3 in pulse field: Evidence of surface effect. Journal of Applied Physics,117(6) ","https://www.scopus.com/record/display.url?eid=2-s2.0-84923684208&origin=resultslist","10.1063/1.4907586","Article","2-s2.0-84923684208","Siberian Federal University| RAS - Boreskov Institute of Catalysis, Siberian Branch| RAS - Siberian Branch| Ural Federal University| RAS - Kirensky Institute of Physics, Siberian Branch| Perm National Research Polytechnic University| RAS - Institute of Continuous Media Mechanics, Ural Branch","60017604| 60015749| 60075346| 60026928| 60023325| 60026991| 60017604| 60103702","Siberian Branch, Russian Academy of Sciences| Kirensky Institute of Physics, Siberian Branch, Russian Academy of Sciences| Siberian Federal University| Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Perm National Research Polytechnic University| Boreskov Institute of Catalysis SB RAS| Siberian Branch, Russian Academy of Sciences| Ural Federal University","Russian Federation","3100","General Physics and Astronomy","Harmonic Generation,Crystals,Nonlinear Optics","1376","Magnetic Anisotropy,Coercivity,Ferric Oxide","31710","47.39","86.202"
"Isolation and Analysis of Bioactive Compounds in Capsicum Peppers","Asnin, L.| Park, S.W.","2","6602774626| 50262664600","2015","Critical Reviews in Food Science and Nutrition","6.46","303","36","2.63","7","9","Asnin, L., Park, S.W. (2015).Isolation and Analysis of Bioactive Compounds in Capsicum Peppers. Critical Reviews in Food Science and Nutrition,55(2) 254-289","https://www.scopus.com/record/display.url?eid=2-s2.0-84906517422&origin=resultslist","10.1080/10408398.2011.652316","Article","2-s2.0-84906517422","Konkuk University| Perm National Research Polytechnic University","60023325| 60000142","Perm National Research Polytechnic University| Konkuk University","South Korea| Russian Federation","1106| 2209","Food Science| Industrial and Manufacturing Engineering","TRPV Cation Channels,Capsaicin,Transients And Migrants","1333","Capsaicinoids,Capsicum Chinense,Dihydrocapsaicin","12503","53.079","94.563"
"Advances in nanocarriers for anticancer drugs delivery","Ali, I.| Lone, M.N.| Suhail, M.| Mukhtar, S.D.| Asnin, L.","5","7102015737| 55891722400| 57103074000| 57190399638| 6602774626","2016","Current Medicinal Chemistry","1.28","48","31","1.16","7","25","Ali, I., Lone, M.N., Suhail, M. and 2 more (...) (2016).Advances in nanocarriers for anticancer drugs delivery. Current Medicinal Chemistry,23(20) 2159-2187","https://www.scopus.com/record/display.url?eid=2-s2.0-84984671886&origin=resultslist","10.2174/0929867323666160510122913","Review","2-s2.0-84984671886","Jamia Millia Islamia| Perm National Research Polytechnic University","60020458| 60023325","Jamia Millia Islamia| Perm National Research Polytechnic University","India| Russian Federation","1303| 1313| 1605| 3002| 3004","Biochemistry| Molecular Medicine| Organic Chemistry| Drug Discovery| Pharmacology","Block Copolymers,Micelles,Polymers","112","Polyamidoamine,PAMAM Starburst,Dendrimers","903","96.252","98.585"
"Definition of factors influencing on ni(oh)2 electrochemical characteristics for supercapacitors","Kovalenko, V.| Kotok, V.| Bolotin, A.","3","57193523095| 57191493621| 8241105500","2016","Eastern-European Journal of Enterprise Technologies","1.19","31","28","2.98","8","7","Kovalenko, V., Kotok, V., Bolotin, A. (2016).Definition of factors influencing on ni(oh)2 electrochemical characteristics for supercapacitors. Eastern-European Journal of Enterprise Technologies,5(6) 17-22","https://www.scopus.com/record/display.url?eid=2-s2.0-85014067384&origin=resultslist","10.15587/1729-4061.2016.79406","Article","2-s2.0-85014067384","Vyatka State University| Ukrainian State Chemical Technology University| Perm National Research Polytechnic University","118167724| 60023325| 60068540| 60104421","Apparatus and General Chemical Technology| Perm National Research Polytechnic University| Ukrainian State Chemical Technology University| Vyatka State University","Russian Federation| Ukraine","1405| 1706| 2102| 2207| 2208| 2209| 2210| 2604","Management of Technology and Innovation| Computer Science Applications| Energy Engineering and Power Technology| Control and Systems Engineering| Electrical and Electronic Engineering| Industrial and Manufacturing Engineering| Mechanical Engineering| Applied Mathematics","Secondary Batteries,Electric Batteries,Lithium Alloys","30","Nickel Metal Hydride Batteries,Alkaline Batteries,Nickel","9649","100","82.031"
"Non-Kolmogorov cascade of helicity-driven turbulence","Kessar, M.| Plunian, F.| Stepanov, R.| Balarac, G.","4","56431196200| 6507957126| 7005472384| 8604740900","2015","Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","1.2","15","24","2.47","13","10","Kessar, M., Plunian, F., Stepanov, R. and 1 more (...) (2015).Non-Kolmogorov cascade of helicity-driven turbulence. Physical Review E - Statistical, Nonlinear, and Soft Matter Physics,92(3) ","https://www.scopus.com/record/display.url?eid=2-s2.0-84943328412&origin=resultslist","10.1103/PhysRevE.92.031004","Article","2-s2.0-84943328412","CNRS| Perm National Research Polytechnic University| Université Grenoble Alpes| RAS - Institute of Continuous Media Mechanics, Ural Branch","60008134| 60010649| 60104653| 60008134| 60109424| 60104653| 60026928| 60023325","CNRS Centre National de la Recherche Scientifique| Laboratoire des Écoulements Géophysiques et Industriels| Universite Grenoble Alpes| CNRS Centre National de la Recherche Scientifique| Institut des Sciences de la Terre, Grenoble| Universite Grenoble Alpes| Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Perm National Research Polytechnic University","France| Russian Federation","2613| 3104| 3109","Statistics and Probability| Condensed Matter Physics| Statistical and Nonlinear Physics","Reynolds Number,Boundary Layers,Large Eddy Simulation","34","Helicity,Rossby Number,Homogeneous Turbulence","20539","91.165","80.172"
"Wavelet-analysis of skin temperature oscillations during local heating for revealing endothelial dysfunction","Podtaev, S.| Stepanov, R.| Smirnova, E.| Loran, E.","4","24367053600| 7005472384| 55801437700| 55893022000","2015","Microvascular Research","2.92","50","24","1.52","13","19","Podtaev, S., Stepanov, R., Smirnova, E. and 1 more (...) (2015).Wavelet-analysis of skin temperature oscillations during local heating for revealing endothelial dysfunction. Microvascular Research,97109-114","https://www.scopus.com/record/display.url?eid=2-s2.0-84918502652&origin=resultslist","10.1016/j.mvr.2014.10.003","Article","2-s2.0-84918502652","Russian Academy of Sciences| Perm National Research Polytechnic University| Perm State Medical University| RAS - Institute of Continuous Media Mechanics, Ural Branch","60026928| 60021331| 60025682| 60023325","Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Russian Academy of Sciences| E.A.Vagner Perm State Medical University| Perm National Research Polytechnic University","Russian Federation","1303| 1307| 2705","Biochemistry| Cell Biology| Cardiology and Cardiovascular Medicine","Vasodilation,Endothelium,Dilatation","574","Laser Doppler Flowmetry,Ringer's Lactate,Vasodilation","5992","35.074","88.763"
"Measurement of strains by optical fiber Bragg grating sensors embedded into polymer composite material","Matveenko, V.P.| Shardakov, I.N.| Voronkov, A.A.| Kosheleva, N.A.| Lobanov, D.S.| Serovaev, G.S.| Spaskova, E.M.| Shipunov, G.S.","8","9741980900| 6603106093| 36854853800| 44161124200| 55631572000| 56638645300| 57216159518| 56565446900","2018","Structural Control and Health Monitoring","3.19","83","23","2.94","5","8","Matveenko, V.P., Shardakov, I.N., Voronkov, A.A. and 5 more (...) (2018).Measurement of strains by optical fiber Bragg grating sensors embedded into polymer composite material. Structural Control and Health Monitoring,25(3) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85041659673&origin=resultslist","10.1002/stc.2118","Article","2-s2.0-85041659673","Russian Academy of Sciences| Perm National Research Polytechnic University| RAS - Institute of Continuous Media Mechanics, Ural Branch","60023325| 60026928| 60021331","Perm National Research Polytechnic University| Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Russian Academy of Sciences","Russian Federation","2205| 2211| 2215","Civil and Structural Engineering| Mechanics of Materials| Building and Construction","Fiber Lasers,Fibers,Optical Fibers","111","Fiber Bragg Grating Sensor,FBG Sensor,Structural Health Monitoring","13588","88.688","87.974"
