
"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"An assembly of organic-inorganic composites using halloysite clay nanotubes","Lazzara, G.| Cavallaro, G.| Panchal, A.| Fakhrullin, R.| Stavitskaya, A.| Vinokurov, V.| Lvov, Y.","7","6602777267| 57205940134| 57189461632| 16244745200| 57190568044| 7101929921| 7006686873","2018","Current Opinion in Colloid and Interface Science","7.53","383","164","7.28","1","2","Lazzara, G., Cavallaro, G., Panchal, A. and 4 more (...) (2018).An assembly of organic-inorganic composites using halloysite clay nanotubes. Current Opinion in Colloid and Interface Science,3542-50","https://www.scopus.com/record/display.url?eid=2-s2.0-85041487682&origin=resultslist","10.1016/j.cocis.2018.01.002","Review","2-s2.0-85041487682","Louisiana Tech University| Kazan Volga Region Federal University| University of Palermo| I.M. Gubkin Russian State University of Oil and Gas","60017697| 60016251| 60000092| 60070941| 60010055","Università degli Studi di Palermo| Louisiana Tech University| Institute for Micromanufacturing| Kazan Federal University| National University of Oil and Gas «Gubkin University»","United States| Italy| Russian Federation","1505| 1606| 2507| 3110","Colloid and Surface Chemistry| Physical and Theoretical Chemistry| Polymers and Plastics| Surfaces and Interfaces","Kaolinite,Clay Minerals,Nanotubes","815","Clays,Nanotubes,Nanoclays","12631","64.993","99.36"
"Formation of metal clusters in halloysite clay nanotubes","Vinokurov, V.A.| Stavitskaya, A.V.| Chudakov, Y.A.| Ivanov, E.V.| Shrestha, L.K.| Ariga, K.| Darrat, Y.A.| Lvov, Y.M.","8","7101929921| 57190568044| 57194192499| 57200539810| 12753648800| 7006586066| 57194188614| 7006686873","2017","Science and Technology of Advanced Materials","3.79","112","72","4.55","2","4","Vinokurov, V.A., Stavitskaya, A.V., Chudakov, Y.A. and 5 more (...) (2017).Formation of metal clusters in halloysite clay nanotubes. Science and Technology of Advanced Materials,18(1) 147-151","https://www.scopus.com/record/display.url?eid=2-s2.0-85019097263&origin=resultslist","10.1080/14686996.2016.1278352","Article","2-s2.0-85019097263","Louisiana Tech University| National Institute for Materials Science Tsukuba| I.M. Gubkin Russian State University of Oil and Gas","60010055| 60002414| 60016251| 60000092","National University of Oil and Gas «Gubkin University»| National Institute for Materials Science| Louisiana Tech University| Institute for Micromanufacturing","Japan| United States| Russian Federation","2500","General Materials Science","Kaolinite,Clay Minerals,Nanotubes","815","Clays,Nanotubes,Nanoclays","12631","64.993","99.36"
"Environmentally Benign Halloysite Nanotube Multilayer Assembly Significantly Reduces Polyurethane Flammability","Smith, R.J.| Holder, K.M.| Ruiz, S.| Hahn, W.| Song, Y.| Lvov, Y.M.| Grunlan, J.C.","7","57195252540| 36704656400| 57195481431| 57199323164| 57164147900| 7006686873| 6603847127","2018","Advanced Functional Materials","4.24","118","65","6.87","1","2","Smith, R.J., Holder, K.M., Ruiz, S. and 4 more (...) (2018).Environmentally Benign Halloysite Nanotube Multilayer Assembly Significantly Reduces Polyurethane Flammability. Advanced Functional Materials,28(27) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85028337505&origin=resultslist","10.1002/adfm.201703289","Article","2-s2.0-85028337505","Louisiana Tech University| Texas A&M University| I.M. Gubkin Russian State University of Oil and Gas","60020547| 60020547| 60020547| 60020547| 60000092| 60016251| 60010055","Texas A&M University| Texas A&M University| Texas A&M University| Texas A&M University| Institute for Micromanufacturing| Louisiana Tech University| National University of Oil and Gas «Gubkin University»","United States| Russian Federation","1600| 2500| 3104","General Chemistry| General Materials Science| Condensed Matter Physics","Flame Retardants,Fires,Smoke","578","Flame Retardants,Cotton Fabrics,Flammability","11039","78.179","96.967"
"Paclitaxel Encapsulated in Halloysite Clay Nanotubes for Intestinal and Intracellular Delivery","Yendluri, R.| Lvov, Y.| de Villiers, M.M.| Vinokurov, V.| Naumenko, E.| Tarasova, E.| Fakhrullin, R.","7","42662846600| 7006686873| 7006499006| 7101929921| 55543058400| 57188686590| 16244745200","2017","Journal of Pharmaceutical Sciences","5.36","129","55","7.34","2","2","Yendluri, R., Lvov, Y., de Villiers, M.M. and 4 more (...) (2017).Paclitaxel Encapsulated in Halloysite Clay Nanotubes for Intestinal and Intracellular Delivery. Journal of Pharmaceutical Sciences,106(10) 3131-3139","https://www.scopus.com/record/display.url?eid=2-s2.0-85026483844&origin=resultslist","10.1016/j.xphs.2017.05.034","Article","2-s2.0-85026483844","Louisiana Tech University| Kazan Volga Region Federal University| University of Wisconsin-Madison| I.M. Gubkin Russian State University of Oil and Gas","60016251| 60000092| 60010055| 60032179| 60070941","Louisiana Tech University| Institute for Micromanufacturing| National University of Oil and Gas «Gubkin University»| University of Wisconsin-Madison| Kazan Federal University","United States| Russian Federation","3003","Pharmaceutical Science","Kaolinite,Clay Minerals,Nanotubes","815","Clays,Nanotubes,Nanoclays","12631","64.993","99.36"
"Core/Shell Ruthenium-Halloysite Nanocatalysts for Hydrogenation of Phenol","Vinokurov, V.| Glotov, A.| Chudakov, Y.| Stavitskaya, A.| Ivanov, E.| Gushchin, P.| Zolotukhina, A.| Maximov, A.| Karakhanov, E.| Lvov, Y.","10","7101929921| 55804345400| 57194192499| 57190568044| 57200539810| 35198200600| 35294349500| 7101759864| 35549058800| 7006686873","2017","Industrial and Engineering Chemistry Research","3.51","98","51","4.44","2","4","Vinokurov, V., Glotov, A., Chudakov, Y. and 7 more (...) (2017).Core/Shell Ruthenium-Halloysite Nanocatalysts for Hydrogenation of Phenol. Industrial and Engineering Chemistry Research,56(47) 14043-14052","https://www.scopus.com/record/display.url?eid=2-s2.0-85036635398&origin=resultslist","10.1021/acs.iecr.7b03282","Article","2-s2.0-85036635398","Louisiana Tech University| Lomonosov Moscow State University| I.M. Gubkin Russian State University of Oil and Gas","60010055| 60007457| 60000092| 60016251","National University of Oil and Gas «Gubkin University»| Lomonosov Moscow State University| Institute for Micromanufacturing| Louisiana Tech University","United States| Russian Federation","1500| 1600| 2209","General Chemical Engineering| General Chemistry| Industrial and Manufacturing Engineering","Catalysts,Zeolites,Hydrogenation","7","Cyclohexanones,Hydrogenation,Palladium","40360","99.531","80.188"
"Cage metal complexes: Clathrochelates revisited","Voloshin, Y.| Belaya, I.| Krämer, R.","3","35427051600| 54794786500| 7401737340","2017","Cage Metal Complexes: Clathrochelates Revisited","1.57","36","50","7.59","3","2","Voloshin, Y., Belaya, I., Krämer, R. (2017).Cage metal complexes: Clathrochelates revisited. Cage Metal Complexes: Clathrochelates Revisited,1-467","https://www.scopus.com/record/display.url?eid=2-s2.0-85017515816&origin=resultslist","10.1007/978-3-319-56420-3","Book","2-s2.0-85017515816","RAS - Kurnakov Institute of General and Inorganic Chemistry| Heidelberg University | Russian Academy of Sciences| RAS - A.N. Nesmeyanov Institute of Organoelement Compounds| I.M. Gubkin Russian State University of Oil and Gas","60021331| 60084538| 60010055| 60021331| 60030978| 60016908","Russian Academy of Sciences| Kurnakov Institute of General and Inorganic Chemistry, Russian Academy of Sciences| National University of Oil and Gas «Gubkin University»| Russian Academy of Sciences| A.N.Nesmeyanov Institute of Organoelement Compounds of Russian Academy of Sciences| Universität Heidelberg","Germany| Russian Federation","1300| 1500| 1600| 2200","General Biochemistry,Genetics and Molecular Biology| General Chemical Engineering| General Chemistry| General Engineering","Rare Earth Elements,Europium,Luminescence","726","Antiprism,Diamsar Chelate,Alanyltyrosine","28357","64.056","69.919"
"Application of halloysite clay nanotubes as a pharmaceutical excipient","Yendluri, R.| Otto, D.P.| De Villiers, M.M.| Vinokurov, V.| Lvov, Y.M.","5","42662846600| 22980986100| 7006499006| 7101929921| 7006686873","2017","International Journal of Pharmaceutics","4.65","112","49","6.39","3","2","Yendluri, R., Otto, D.P., De Villiers, M.M. and 2 more (...) (2017).Application of halloysite clay nanotubes as a pharmaceutical excipient. International Journal of Pharmaceutics,521(1-2) 267-273","https://www.scopus.com/record/display.url?eid=2-s2.0-85013807896&origin=resultslist","10.1016/j.ijpharm.2017.02.055","Article","2-s2.0-85013807896","University of Wisconsin-Madison| Louisiana Tech University| I.M. Gubkin Russian State University of Oil and Gas","60000092| 60016251| 60032179| 60010055","Institute for Micromanufacturing| Louisiana Tech University| University of Wisconsin-Madison| National University of Oil and Gas «Gubkin University»","United States| Russian Federation","3003","Pharmaceutical Science","Kaolinite,Clay Minerals,Nanotubes","815","Clays,Nanotubes,Nanoclays","12631","64.993","99.36"
"Mesoporous metal catalysts templated on clay nanotubes","Glotov, A.| Stavitskaya, A.| Chudakov, Y.| Ivanov, E.| Huang, W.| Vinokurov, V.| Zolotukhina, A.| Maximov, A.| Karakhanov, E.| Lvov, Y.","10","55804345400| 57190568044| 57194192499| 57200539810| 57218084525| 7101929921| 35294349500| 7101759864| 35549058800| 7006686873","2019","Bulletin of the Chemical Society of Japan","4.2","84","48","7.81","1","2","Glotov, A., Stavitskaya, A., Chudakov, Y. and 7 more (...) (2019).Mesoporous metal catalysts templated on clay nanotubes. Bulletin of the Chemical Society of Japan,92(1) 61-69","https://www.scopus.com/record/display.url?eid=2-s2.0-85060379113&origin=resultslist","10.1246/bcsj.20180207","Article","2-s2.0-85060379113","Louisiana Tech University| Taiyuan University of Technology| Lomonosov Moscow State University| I.M. Gubkin Russian State University of Oil and Gas","60010055| 60007457| 60013268| 60016251| 60000092","National University of Oil and Gas «Gubkin University»| Lomonosov Moscow State University| Taiyuan University of Technology| Louisiana Tech University| Institute for Micromanufacturing","China| United States| Russian Federation","1600","General Chemistry","Kaolinite,Clay Minerals,Nanotubes","815","Clays,Nanotubes,Nanoclays","12631","64.993","99.36"
"Aquathermolysis of crude oils and natural bitumen: Chemistry, catalysts and prospects for industrial implementation","Tumanyan, B.P.| Petrukhina, N.N.| Kayukova, G.P.| Nurgaliev, D.K.| Foss, L.E.| Romanov, G.V.","6","6602087045| 55357247800| 6602129238| 6507640079| 14219041300| 7101632123","2015","Russian Chemical Reviews","0.96","110","41","0.39","6","52","Tumanyan, B.P., Petrukhina, N.N., Kayukova, G.P. and 3 more (...) (2015).Aquathermolysis of crude oils and natural bitumen: Chemistry, catalysts and prospects for industrial implementation. Russian Chemical Reviews,84(11) 1145-1175","https://www.scopus.com/record/display.url?eid=2-s2.0-84949741543&origin=resultslist","10.1070/RCR4500","Review","2-s2.0-84949741543","Kazan Volga Region Federal University| Russian Academy of Sciences| RAS - Kazan Scientific Center| I.M. Gubkin Russian State University of Oil and Gas","60010055| 60021331| 60095468| 60096198| 60070941","National University of Oil and Gas «Gubkin University»| Russian Academy of Sciences| A.E. Arbuzov Institute of Organic and Physical Chemistry, Kazan Scientific Center, Russian Academy o| Kazan Scientific Center, Russian Academy of Sciences| Kazan Federal University","Russian Federation","1600","General Chemistry","Crude Oil,Asphaltenes,Oil Sands","629","Petroleum,Tatarstan,Upgrading","32928","67.805","92.361"
"Halloysite Nanoclay Based CdS Formulations with High Catalytic Activity in Hydrogen Evolution Reaction under Visible Light Irradiation","Vinokurov, V.A.| Stavitskaya, A.V.| Ivanov, E.V.| Gushchin, P.A.| Kozlov, D.V.| Kurenkova, A.Y.| Kolinko, P.A.| Kozlova, E.A.| Lvov, Y.M.","9","7101929921| 57190568044| 57200539810| 35198200600| 35366492500| 57009048200| 16175473900| 12244601300| 7006686873","2017","ACS Sustainable Chemistry and Engineering","3.79","118","41","2.82","3","8","Vinokurov, V.A., Stavitskaya, A.V., Ivanov, E.V. and 6 more (...) (2017).Halloysite Nanoclay Based CdS Formulations with High Catalytic Activity in Hydrogen Evolution Reaction under Visible Light Irradiation. ACS Sustainable Chemistry and Engineering,5(12) 11316-11323","https://www.scopus.com/record/display.url?eid=2-s2.0-85041090513&origin=resultslist","10.1021/acssuschemeng.7b02272","Article","2-s2.0-85041090513","Louisiana Tech University| RAS - Boreskov Institute of Catalysis, Siberian Branch| Novosibirsk State University| I.M. Gubkin Russian State University of Oil and Gas","60010055| 60026991| 60002049| 60016251| 60000092","National University of Oil and Gas «Gubkin University»| Boreskov Institute of Catalysis SB RAS| Novosibirsk State University| Louisiana Tech University| Institute for Micromanufacturing","United States| Russian Federation","1500| 1600| 2105| 2304","General Chemical Engineering| General Chemistry| Renewable Energy, Sustainability and the Environment| Environmental Chemistry","Photocatalysis,Photocatalysts,Solar Cells","8","Cadmium Sulfide,Hydrogen Production,Photocatalysts","7856","99.933","99.911"
