
"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"Research priorities for freshwater mussel conservation assessment","Ferreira-Rodríguez, N.| Akiyama, Y.B.| Aksenova, O.V.| Araujo, R.| Christopher Barnhart, M.| Bespalaya, Y.V.| Bogan, A.E.| Bolotov, I.N.| Budha, P.B.| Clavijo, C.| Clearwater, S.J.| Darrigran, G.| Do, V.T.| Douda, K.| Froufe, E.| Gumpinger, C.| Henrikson, L.| Humphrey, C.L.| Johnson, N.A.| Klishko, O.| Klunzinger, M.W.| Kovitvadhi, S.| Kovitvadhi, U.| Lajtner, J.| Lopes-Lima, M.| Moorkens, E.A.| Nagayama, S.| Nagel, K.-O.| Nakano, M.| Negishi, J.N.| Ondina, P.| Oulasvirta, P.| Prié, V.| Riccardi, N.| Rudzīte, M.| Sheldon, F.| Sousa, R.| Strayer, D.L.| Takeuchi, M.| Taskinen, J.| Teixeira, A.| Tiemann, J.S.| Urbańska, M.| Varandas, S.| Vinarski, M.V.| Wicklow, B.J.| Zając, T.| Vaughn, C.C.","48","56451314300| 55907431400| 55631592600| 7103253237| 7007093804| 16309092500| 6603914523| 6701755786| 55175070800| 56195627500| 6701423622| 6602868139| 55581180700| 23967910700| 57217846245| 55651426900| 6602661088| 7102630679| 36872713400| 8099555000| 6507868911| 12805351300| 6504092536| 6602749837| 57203756165| 7801402536| 18437527500| 7006543845| 56015768900| 6603360274| 6602614747| 6506962750| 35732239500| 6603364365| 55631277500| 7006468014| 12239037300| 7102332269| 57205416203| 7005517015| 7202385393| 56212005300| 56702904000| 24449552800| 16240374700| 6508392241| 7004118357| 7006163764","2019","Biological Conservation","4.92","119","45","6.87","1","2","Ferreira-Rodríguez, N., Akiyama, Y.B., Aksenova, O.V. and 45 more (...) (2019).Research priorities for freshwater mussel conservation assessment. Biological Conservation,23177-87","https://www.scopus.com/record/display.url?eid=2-s2.0-85059942325&origin=resultslist","10.1016/j.biocon.2019.01.002","Short Survey","2-s2.0-85059942325","CSIC| University of Latvia| CSIC - National Museum of Natural Sciences| Institute of Ecosystem Studies| Northern Arctic Federal University| Consejo Nacional de Investigaciones Científicas y Técnicas| RAS - Siberian Branch| Tribhuvan University| RAS - Institute of Natural Resources, Ecology and Cryology, Siberian Branch| Gifu University| University of Michigan, Ann Arbor| Ishikawa Prefectural University| Poznań University Of Life Sciences| Forschungsinstitut Senckenberg| Polytechnic Institute of Bragança| NIWA| University of Jyväskylä| Université PSL| Missouri State University| Kasetsart University| Czech University of Life Sciences Prague| United States Geological Survey| Western Australian Museum| Murdoch University| Saint Anselm College| University of Zagreb| Muséum national d'histoire naturelle| Japan National Institute for Land and Infrastructure Management| Museo Nacional de Historia Natural Uruguay| University of Minho| University of Vigo| Griffith University Queensland| Russian Academy of Sciences| Sorbonne Université| Universidade de Trás-os-Montes e Alto Douro| Institute of Nature Conservation of the Polish Academy of Sciences| Polish Academy of Sciences| University of Porto| Trinity College Dublin| Universidad Nacional de La Plata| St. Petersburg State University| Hokkaido University| CNRS| University of Santiago de Compostela| Vietnamese Academy of Science and Technology| University of Illinois at Urbana-Champaign| ﻿Chandrakasem Rajabhat University| École pratique des hautes études| University of Oklahoma","60026134| 60016690| 60109282| 60021331| 60015098| 60015098| 60024510| 100520928| 60104901| 60071790| 60106694| 60024594| 60004518| 60023103| 60071391| 60071359| 60024445| 60013435| 113529942| 120725374| 107115246| 60011347| 60017604| 60103847| 121967642| 60019939| 60017526| 60020796| 60021944| 60103664| 60007249| 60027821| 60011149| 60018429| 60072277| 60085766| 109708246| 60014652| 60028419| 113367130| 60028311| 60001422| 60027946| 60027946| 60008134| 121967742| 60071043| 60032987| 60020475| 60025778| 60017474| 121967852| 60032398| 60029367| 60007313| 60000745| 60103558| 60014519| 60111838| 60031888| 60014516| 60014383| 60086878| 60086878| 60030931","Universidade de Vigo| Japan National Institute for Land and Infrastructure Management| Federal Center for Integrated Arctic Research RAS| Russian Academy of Sciences| CSIC - Museo Nacional de Ciencias Naturales (MNCN)| CSIC - Museo Nacional de Ciencias Naturales (MNCN)| Missouri State University| NC Museum of Natural Sciences| Northern (Arctic) Federal University| Tribhuvan University| Museo Nacional de Historia Natural Uruguay| National Institute of Water and Atmospheric Research, New Zealand| Consejo Nacional de Investigaciones Científicas y Técnicas| Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata| Vietnamese Academy of Science and Technology Institute of Ecology and Biological Resources| Vietnam Academy of Science and Technology| Czech University of Life Sciences Prague| University of Porto, Interdisciplinary Centre of Marine and Environmental Research| Consultants in Aquatic Ecology and Engineering| Nature and Man Ltd (Natur och Människa AB)| Supervising Scientist Branch| United States Geological Survey| Siberian Branch, Russian Academy of Sciences| Institute of Natural Resources, Ecology and Cryology of SB RAS| BWG Environmental| Murdoch University| Western Australian Museum| Bansomdejchaopraya Rajabhat University| Kasetsart University| Sveučilište u Zagrebu, Prirodoslovno-Matematički Fakultet| Universidade do Porto| Universidade do Porto, Centro de Investigação em Biodiversidade e Recursos Genéticos| Trinity College Dublin| Gifu University| Senckenberg Forschungsinstitut und Naturmuseum| Ishikawa Prefectural University| Japan Association of Rural Solutions for Environmental Conservation and Resource Recycling (JARUS)| Hokkaido University| Universidad de Santiago de Compostela| Alleco Ltd| Museum National d'Histoire Naturelle| Sorbonne Universite| École Pratique des Hautes Etudes| École Pratique des Hautes Etudes| CNRS Centre National de la Recherche Scientifique| CNR-Water Research Institute (IRSA)| University of Latvia| Griffith University| Universidade do Minho| University of Michigan, Ann Arbor| Institute of Ecosystem Studies| 1-15 Osanai School| University of Jyvaskyla| Instituto Politecnico de Braganca| Illinois Natural History Survey| University of Illinois at Urbana-Champaign| Uniwersytet Przyrodniczy w Poznaniu| University of Trás-os-Montes and Alto Douro| Universidade de Trás-os-Montes e Alto Douro, Centro de Investigação e de Tecnologias Agroambientais| Saint Petersburg State University| Saint Anselm College| Polish Academy of Sciences| Institute of Nature Conservation of the Polish Academy of Sciences| Institute of Nature Conservation of the Polish Academy of Sciences| University of Oklahoma","Austria| Uruguay| Spain| Japan| Finland| Thailand| France| Italy| Czech Republic| Nepal| Viet Nam| Latvia| Croatia| Ireland| Poland| United States| Germany| Portugal| Australia| Russian Federation| New Zealand| Sweden| Argentina","1105| 2309","Ecology, Evolution, Behavior and Systematics| Nature and Landscape Conservation","Mussels,Bivalvia,Oysters","244","Freshwater Mussels,Unionidae,Margaritifera Margaritifera","2163","72.289","95.139"
"A Model of Regional Economic Space Modernization","Polyakova, A.G.| Akhmetshin, E.M.| Goloshchapova, L.V.| Rakhmeeva, I.I.| Noeva, E.E.| Rakovskiy, V.I.","6","57209034747| 56027651200| 57094114100| 57205217021| 57193060709| 57205220256","2018","European Research Studies Journal","7.14","183","44","14.78","2","1","Polyakova, A.G., Akhmetshin, E.M., Goloshchapova, L.V. and 3 more (...) (2018).A Model of Regional Economic Space Modernization. European Research Studies Journal,21(2) 624-634","https://www.scopus.com/record/display.url?eid=2-s2.0-85059115338&origin=resultslist","-","Article","2-s2.0-85059115338","Kazan Volga Region Federal University| Northern Arctic Federal University| Ural State University of Economics| Financial Academy of the Russian Federation Government| Tyumen State Oil and Gas University| Plekhanov Russian University of Economics| North-Eastern Federal University","60104752| 60032982| 60070941| 60030998| 60021535| 60013628| 60104901","Tyumen industrial University| Financial University under the Government of the Russian Federation| Kazan Federal University| Plekhanov Russian University of Economics| Ural State University of Economics| North-Eastern Federal University| Northern (Arctic) Federal University","Russian Federation","1400| 2000","General Business,Management and Accounting| General Economics,Econometrics and Finance","Students,Russian,Education","1114","Russian Language,Language Picture of the World,Explanatory Dictionary","25530","77.644","98.011"
"Ancient River Inference Explains Exceptional Oriental Freshwater Mussel Radiations","Bolotov, I.N.| Kondakov, A.V.| Vikhrev, I.V.| Aksenova, O.V.| Bespalaya, Y.V.| Gofarov, M.Y.| Kolosova, Y.S.| Konopleva, E.S.| Spitsyn, V.M.| Tanmuangpak, K.| Tumpeesuwan, S.","11","6701755786| 56043466700| 55631417200| 55631592600| 16309092500| 55631423000| 13608329600| 57144243200| 56506665600| 56737028200| 56156762200","2017","Scientific Reports","2.22","53","39","2.25","4","11","Bolotov, I.N., Kondakov, A.V., Vikhrev, I.V. and 8 more (...) (2017).Ancient River Inference Explains Exceptional Oriental Freshwater Mussel Radiations. Scientific Reports,7(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85019856912&origin=resultslist","10.1038/s41598-017-02312-z","Article","2-s2.0-85019856912","Northern Arctic Federal University| ﻿Chandrakasem Rajabhat University| Mahasarakham University","60104901| 60020586| 60002875","Northern (Arctic) Federal University| Loei Rajabhat University| Mahasarakham University","Thailand| Russian Federation","1000","Multidisciplinary","Mussels,Bivalvia,Oysters","244","Freshwater Mussels,Unionidae,Margaritifera Margaritifera","2163","72.289","95.139"
"New taxa of freshwater mussels (Unionidae) from a species-rich but overlooked evolutionary hotspot in Southeast Asia","Bolotov, I.N.| Vikhrev, I.V.| Kondakov, A.V.| Konopleva, E.S.| Gofarov, M.Y.| Aksenova, O.V.| Tumpeesuwan, S.","7","6701755786| 55631417200| 56043466700| 57144243200| 55631423000| 55631592600| 56156762200","2017","Scientific Reports","2.14","51","36","2.07","4","13","Bolotov, I.N., Vikhrev, I.V., Kondakov, A.V. and 4 more (...) (2017).New taxa of freshwater mussels (Unionidae) from a species-rich but overlooked evolutionary hotspot in Southeast Asia. Scientific Reports,7(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85029482148&origin=resultslist","10.1038/s41598-017-11957-9","Article","2-s2.0-85029482148","Northern Arctic Federal University| Russian Academy of Sciences| Mahasarakham University","60104901| 60021331| 60109282| 60002875","Northern (Arctic) Federal University| Russian Academy of Sciences| Federal Center for Integrated Arctic Research RAS| Mahasarakham University","Thailand| Russian Federation","1000","Multidisciplinary","Mussels,Bivalvia,Oysters","244","Freshwater Mussels,Unionidae,Margaritifera Margaritifera","2163","72.289","95.139"
"Strengthening technology of timber trusses by patch plates with toothed-plate connectors","Telichenko, V.I.| Rimshin, V.I.| Karelskii, A.V.| Labudin, B.V.| Kurbatov, V.L.","5","57195576732| 56258934600| 57191523933| 57191523557| 55857581800","2017","Journal of Industrial Pollution Control","2.22","53","30","3.24","5","6","Telichenko, V.I., Rimshin, V.I., Karelskii, A.V. and 2 more (...) (2017).Strengthening technology of timber trusses by patch plates with toothed-plate connectors. Journal of Industrial Pollution Control,33(1) 1034-1041","https://www.scopus.com/record/display.url?eid=2-s2.0-85028911148&origin=resultslist","-","Article","2-s2.0-85028911148","Northern Arctic Federal University| Moscow State University of Civil Engineering| Belgorod State Technological University","60024799| 60104901| 60109683","Moscow State University of Civil Engineering| Northern (Arctic) Federal University| North-Caucasian Branch of Belgorod State Technological University named after V.G. Shukhov","Russian Federation","1507| 1902| 2212| 2310| 2312","Fluid Flow and Transfer Processes| Atmospheric Science| Ocean Engineering| Pollution| Water Science and Technology","Aerogels,Silica Gel,Thermal Insulation","1183","Spherical Triangle,Concretes,Cements","93720","57.497","69.344"
"Expansion and systematics redefinition of the most threatened freshwater mussel family, the Margaritiferidae","Lopes-Lima, M.| Bolotov, I.N.| Do, V.T.| Aldridge, D.C.| Fonseca, M.M.| Gan, H.M.| Gofarov, M.Y.| Kondakov, A.V.| Prié, V.| Sousa, R.| Varandas, S.| Vikhrev, I.V.| Teixeira, A.| Wu, R.-W.| Wu, X.| Zieritz, A.| Froufe, E.| Bogan, A.E.","18","57203756165| 6701755786| 55581180700| 23062911400| 15131137100| 56785298000| 55631423000| 56043466700| 35732239500| 12239037300| 24449552800| 55631417200| 7202385393| 56946049100| 55763791041| 35184628300| 57217846245| 6603914523","2018","Molecular Phylogenetics and Evolution","2.01","34","27","3.64","4","6","Lopes-Lima, M., Bolotov, I.N., Do, V.T. and 15 more (...) (2018).Expansion and systematics redefinition of the most threatened freshwater mussel family, the Margaritiferidae. Molecular Phylogenetics and Evolution,12798-118","https://www.scopus.com/record/display.url?eid=2-s2.0-85047430733&origin=resultslist","10.1016/j.ympev.2018.04.041","Article","2-s2.0-85047430733","Northern Arctic Federal University| Muséum national d'histoire naturelle| University of Cambridge| University of Minho| Sorbonne Université| Russian Academy of Sciences| Universidade de Trás-os-Montes e Alto Douro| University of Nottingham Malaysia Campus| Nanchang University| Polytechnic Institute of Bragança| University of Porto| Université PSL| CNRS| Deakin University| Vietnamese Academy of Science and Technology| École pratique des hautes études","60027821| 60007249| 60013435| 60007249| 120124667| 60109282| 60109286| 60021331| 60104901| 60071391| 60071359| 60031101| 60018805| 60001422| 60027946| 60027946| 60028311| 60008134| 60020475| 60111838| 60014519| 60029367| 60008332| 60090616| 60027474","Universidade do Porto, Centro de Investigação em Biodiversidade e Recursos Genéticos| Universidade do Porto| University of Porto, Interdisciplinary Centre of Marine and Environmental Research| Universidade do Porto| SSC/IUCN| Federal Center for Integrated Arctic Research RAS| Institute of Biogeography and Genetic Resources| Russian Academy of Sciences| Northern (Arctic) Federal University| Vietnamese Academy of Science and Technology Institute of Ecology and Biological Resources| Vietnam Academy of Science and Technology| University of Cambridge| Deakin University| Sorbonne Universite| École Pratique des Hautes Etudes| École Pratique des Hautes Etudes| Museum National d'Histoire Naturelle| CNRS Centre National de la Recherche Scientifique| Universidade do Minho| Universidade de Trás-os-Montes e Alto Douro, Centro de Investigação e de Tecnologias Agroambientais| University of Trás-os-Montes and Alto Douro| Instituto Politecnico de Braganca| Nanchang University| The University of Nottingham Malaysia Campus| North Carolina State Museum of Natural Sciences","United Kingdom| China| United States| Portugal| Australia| France| Malaysia| Russian Federation| Viet Nam","1105| 1311| 1312","Ecology, Evolution, Behavior and Systematics| Genetics| Molecular Biology","Mussels,Bivalvia,Oysters","244","Freshwater Mussels,Unionidae,Margaritifera Margaritifera","2163","72.289","95.139"
"Decreased losses of woody plant foliage to insects in large urban areas are explained by bird predation","Kozlov, M.V.| Lanta, V.| Zverev, V.| Rainio, K.| Kunavin, M.A.| Zvereva, E.L.","6","55538935300| 6505864105| 16302851900| 6506831006| 56089688500| 7005763431","2017","Global Change Biology","1.49","46","26","2.24","7","11","Kozlov, M.V., Lanta, V., Zverev, V. and 3 more (...) (2017).Decreased losses of woody plant foliage to insects in large urban areas are explained by bird predation. Global Change Biology,23(10) 4354-4364","https://www.scopus.com/record/display.url?eid=2-s2.0-85029280777&origin=resultslist","10.1111/gcb.13692","Article","2-s2.0-85029280777","Northern Arctic Federal University| University of Turku| Czech Academy of Sciences","60006876| 60027611| 60031135| 60104901","Turun yliopisto| Institute of Microbiology of the Academy of Sciences of the Czech Republic| Academy of Sciences of the Czech Republic| Northern (Arctic) Federal University","Finland| Russian Federation| Czech Republic","2300| 2303| 2304| 2306","General Environmental Science| Ecology| Environmental Chemistry| Global and Planetary Change","Birds,Nests,Seabirds","41","Urban Biodiversity,Greenspace,Birds","8537","87.149","97.353"
"Development and application of a cost management model for wastewater treatment and reuse processes","Ruiz-Rosa, I.| García-Rodríguez, F.J.| Mendoza-Jiménez, J.","3","56770175700| 7004619946| 57028508800","2016","Journal of Cleaner Production","1.99","72","26","1.86","9","15","Ruiz-Rosa, I., García-Rodríguez, F.J., Mendoza-Jiménez, J. (2016).Development and application of a cost management model for wastewater treatment and reuse processes. Journal of Cleaner Production,113299-310","https://www.scopus.com/record/display.url?eid=2-s2.0-84952359480&origin=resultslist","10.1016/j.jclepro.2015.12.044","Article","2-s2.0-84952359480","Northern Arctic Federal University| University of La Laguna","60003044| 60104901","Universidad de la Laguna| Northern (Arctic) Federal University","Spain| Russian Federation","1408| 2105| 2209| 2300","Strategy and Management| Renewable Energy, Sustainability and the Environment| Industrial and Manufacturing Engineering| General Environmental Science","Stormwater,Storm Sewers,Rainwater","876","Water Reuse,Wastewater Irrigation,Public Acceptance","16583","72.49","95.67"
"Socioeconomic and behavioral risk factors of disabilities among the indigenous population in the far north","Chashchin, V.P.| Kovshov, A.A.| Gudkov, A.B.| Morgunov, B.A.","4","7004322363| 57177843200| 34876731200| 57140541400","2016","Human Ecology (Russian Federation)","1.65","45","22","2.83","11","8","Chashchin, V.P., Kovshov, A.A., Gudkov, A.B. and 1 more (...) (2016).Socioeconomic and behavioral risk factors of disabilities among the indigenous population in the far north. Human Ecology (Russian Federation),(6) 3-8","https://www.scopus.com/record/display.url?eid=2-s2.0-84991481595&origin=resultslist","10.33396/1728-0869-2016-6-3-8","Article","2-s2.0-84991481595","Northern Arctic Federal University| Northern State Medical Academy| North-Western State Medical University named after I.I. Mechnikov| Higher School of Economics","60017862| 60020513| 60025420| 60104901","North-Western State Medical University named after I.I. Mechnikov| National Research University Higher School of Economics| Northern State Medical University| Northern (Arctic) Federal University","Russian Federation","2303| 2307| 2739| 3306","Ecology| Health, Toxicology and Mutagenesis| Public Health, Environmental and Occupational Health| Health (social science)","Sudden Infant Death,Anoxia,Respiration","777","Physical Development,Russian North,Nenets","26696","35.141","82.004"
"Accessibility of chitin and chitosan in enzymatic hydrolysis: A review","Poshina, D.N.| Raik, S.V.| Poshin, A.N.| Skorik, Y.A.","4","56685553300| 57193515410| 57203961063| 6603873038","2018","Polymer Degradation and Stability","1.98","98","21","0.83","6","34","Poshina, D.N., Raik, S.V., Poshin, A.N. and 1 more (...) (2018).Accessibility of chitin and chitosan in enzymatic hydrolysis: A review. Polymer Degradation and Stability,156269-278","https://www.scopus.com/record/display.url?eid=2-s2.0-85053764774&origin=resultslist","10.1016/j.polymdegradstab.2018.09.005","Review","2-s2.0-85053764774","Russian Ministry of Health| Northern Arctic Federal University| St. Petersburg State University| Russian Academy of Sciences","60014782| 60031888| 60104901| 60104567","Institute of Macromolecular Compounds, Russian Academy of Sciences| Saint Petersburg State University| Northern (Arctic) Federal University| Almazov National Medical Research Centre","Russian Federation","2211| 2505| 2507| 3104","Mechanics of Materials| Materials Chemistry| Polymers and Plastics| Condensed Matter Physics","Cellulose,Lignin,Cellulases","119","Cellulose 1,4-Beta-Cellobiosidase,Cellulases,Trichoderma Reesei","3273","97.791","93.146"
