
"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"A model for justification of the number of traffic enforcement facilities in the region","Safiullin, R.| Kerimov, M.| Afanasyev, A.| Marusin, A.","4","57193751854| 57197081943| 57189521519| 57193749342","2018","Transportation Research Procedia","1.66","21","74","57.64","1","1","Safiullin, R., Kerimov, M., Afanasyev, A. and 1 more (...) (2018).A model for justification of the number of traffic enforcement facilities in the region. Transportation Research Procedia,36493-499","https://www.scopus.com/record/display.url?eid=2-s2.0-85062209668&origin=resultslist","10.1016/j.trpro.2018.12.135","Conference Paper","2-s2.0-85062209668","Saint-Petersburg State Agrarian University| Saint Petersburg Mining University| Saint-Petersburg State University of Architecture and Civil Engineering","60105071| 60113537| 60029071","Saint Petersburg State University of Architecture and Civil Engineering| Saint-Petersburg State Agrarian University| Saint Petersburg Mining University","Russian Federation","3313","Transportation","Vehicles,Accident Prevention,Highway Accidents","315","Road Safety,Traffic Fatalities,Seat Belts","29519","78.38","82.795"
"Prediction of Blast-induced Air Over-pressure in Open-Pit Mine: Assessment of Different Artificial Intelligence Techniques","Bui, X.-N.| Nguyen, H.| Le, H.-A.| Bui, H.-B.| Do, N.-H.","5","36892679300| 57209589544| 57205638833| 57191982391| 57205638534","2020","Natural Resources Research","3.04","60","42","22.19","1","1","Bui, X.-N., Nguyen, H., Le, H.-A. and 2 more (...) (2020).Prediction of Blast-induced Air Over-pressure in Open-Pit Mine: Assessment of Different Artificial Intelligence Techniques. Natural Resources Research,29(2) 571-591","https://www.scopus.com/record/display.url?eid=2-s2.0-85060932132&origin=resultslist","10.1007/s11053-019-09461-0","Article","2-s2.0-85060932132","Saint Petersburg Mining University","60187514| 60187514| 60187514| 60187514| 60187514| 60029071","Hanoi University of Mining and Geology| Hanoi University of Mining and Geology| Hanoi University of Mining and Geology| Hanoi University of Mining and Geology| Hanoi University of Mining and Geology| Saint Petersburg Mining University","Russian Federation| Viet Nam","2300","General Environmental Science","Rocks,Rock Mechanics,Tunnels","155","Blasting,Overbreak,Quarries","6246","88.487","97.711"
"Study of adsorption/desorption properties of a new scale inhibitor package to prevent calcium carbonate formation during water injection in oil reservoirs","Khormali, A.| Petrakov, D.G.| Nazari Moghaddam, R.","3","56817980900| 57015158900| 57194586906","2017","Journal of Petroleum Science and Engineering","3.64","85","34","3.51","4","6","Khormali, A., Petrakov, D.G., Nazari Moghaddam, R. (2017).Study of adsorption/desorption properties of a new scale inhibitor package to prevent calcium carbonate formation during water injection in oil reservoirs. Journal of Petroleum Science and Engineering,153257-267","https://www.scopus.com/record/display.url?eid=2-s2.0-85017419968&origin=resultslist","10.1016/j.petrol.2017.04.008","Article","2-s2.0-85017419968","Saint Petersburg Mining University| Delft University of Technology","60029071| 60118023| 60118019| 60006288","Saint Petersburg Mining University| Department of Geoscience & Engineering, TU Delft| Faculteit Civiele Techniek en Geowetenschappen, TU Delft| Delft University of Technology","Netherlands| Russian Federation","1909| 2103","Geotechnical Engineering and Engineering Geology| Fuel Technology","Calcium Carbonate,Calcite,Fouling","758","Barium Sulfate,Oil Fields,Formation Water","9211","76.037","87.432"
"Innovation process and control function in management","Akhmetshin, E.M.| Vasilev, V.L.| Mironov, D.S.| Yumashev, A.V.| Puryaev, A.S.| Lvov, V.V.","6","56027651200| 56027812600| 57193536425| 57189510951| 56100461800| 56509413200","2018","European Research Studies Journal","7.95","204","32","10.75","3","1","Akhmetshin, E.M., Vasilev, V.L., Mironov, D.S. and 3 more (...) (2018).Innovation process and control function in management. European Research Studies Journal,21(1) 663-674","https://www.scopus.com/record/display.url?eid=2-s2.0-85046645504&origin=resultslist","-","Article","2-s2.0-85046645504","Kazan Volga Region Federal University| Sechenov First Moscow State Medical University| Ural State University of Economics| Saint Petersburg Mining University","60070941| 60070941| 60021535| 60010188| 60070941| 60029071","Kazan Federal University| Kazan Federal University| Ural State University of Economics| Sechenov First Moscow State Medical University| Kazan Federal University| Saint Petersburg Mining University","Russian Federation","1400| 2000","General Business,Management and Accounting| General Economics,Econometrics and Finance","Students,Russian,Education","1114","Agroindustrial Complex,Eurasian Economic Union,EAEU","27875","77.644","99.247"
"Sustainable Development of the Russian Arctic zone energy shelf: the Role of the Quintuple Innovation Helix Model","Carayannis, E.G.| Cherepovitsyn, A.E.| Ilinova, A.A.","3","7006225155| 6506719512| 56590047800","2017","Journal of the Knowledge Economy","6.44","163","30","4.73","5","4","Carayannis, E.G., Cherepovitsyn, A.E., Ilinova, A.A. (2017).Sustainable Development of the Russian Arctic zone energy shelf: the Role of the Quintuple Innovation Helix Model. Journal of the Knowledge Economy,8(2) 456-470","https://www.scopus.com/record/display.url?eid=2-s2.0-85021260686&origin=resultslist","10.1007/s13132-017-0478-9","Article","2-s2.0-85021260686","George Washington University| Saint Petersburg Mining University","60116650| 60003088| 60029071","GW School of Business| The George Washington University| Saint Petersburg Mining University","United States| Russian Federation","2002","Economics and Econometrics","Neural Networks,Forecasting,Algorithms","725","Cold Zones,Arctic,Approximate Solution","73994","40.696","84.715"
"Strategy tasks of the Russian metallurgical complex","Sizyakov, V.M.| Vlasov, A.A.| Bazhin, V.Yu.","3","6601971449| 56577505000| 23099248900","2016","Tsvetnye Metally","2.54","74","28","1.84","8","15","Sizyakov, V.M., Vlasov, A.A., Bazhin, V.Yu. (2016).Strategy tasks of the Russian metallurgical complex. Tsvetnye Metally,2016(1) 32-37","https://www.scopus.com/record/display.url?eid=2-s2.0-84956672674&origin=resultslist","10.17580/tsm.2016.01.05","Article","2-s2.0-84956672674","Saint Petersburg Mining University","60029071","Saint Petersburg Mining University","Russian Federation","1606| 2503| 2505| 2506| 2508| 3104","Physical and Theoretical Chemistry| Ceramics and Composites| Materials Chemistry| Metals and Alloys| Surfaces, Coatings and Films| Condensed Matter Physics","Flotation,Ores,Grinding (Machining)","744","Flotation,Crushers,Ash Dumps","86069","62.517","44.963"
"The prediction of the residual life of electromechanical equipment based on the artificial neural network","Zhukovskiy, Y.L.| Korolev, N.A.| Babanova, I.S.| Boikov, A.V.","4","57216610270| 57193736467| 57196261027| 57065230400","2017","IOP Conference Series: Earth and Environmental Science","4.18","63","28","17.91","6","1","Zhukovskiy, Y.L., Korolev, N.A., Babanova, I.S. and 1 more (...) (2017).The prediction of the residual life of electromechanical equipment based on the artificial neural network. IOP Conference Series: Earth and Environmental Science,87(3) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85032450547&origin=resultslist","10.1088/1755-1315/87/3/032056","Conference Paper","2-s2.0-85032450547","Saint Petersburg Mining University","60029071","Saint Petersburg Mining University","Russian Federation","1900| 2300","General Earth and Planetary Sciences| General Environmental Science","Antennas,Measurements,Electromagnetic Compatibility","1229","Euclidean Plane,Centrifugal Pumps,Inertial Navigation","53507","18.809","62.003"
"Experimental analysis of calcium carbonate scale formation and inhibition in waterflooding of carbonate reservoirs","Khormali, A.| Petrakov, D.G.| Afshari Moein, M.J.","3","56817980900| 57015158900| 57205068528","2016","Journal of Petroleum Science and Engineering","2.07","49","27","2.28","9","11","Khormali, A., Petrakov, D.G., Afshari Moein, M.J. (2016).Experimental analysis of calcium carbonate scale formation and inhibition in waterflooding of carbonate reservoirs. Journal of Petroleum Science and Engineering,147843-850","https://www.scopus.com/record/display.url?eid=2-s2.0-85000843849&origin=resultslist","10.1016/j.petrol.2016.09.048","Article","2-s2.0-85000843849","Saint Petersburg Mining University| Swiss Federal Institute of Technology Zurich","60029071| 60025858","Saint Petersburg Mining University| ETH Zürich","Switzerland| Russian Federation","1909| 2103","Geotechnical Engineering and Engineering Geology| Fuel Technology","Calcium Carbonate,Calcite,Fouling","758","Barium Sulfate,Oil Fields,Formation Water","9211","76.037","87.432"
"The system of the ecological monitoring of environment which is based on the usage of UAV","Danilov, A.S.| Smirnov, U.D.| Pashkevich, M.A.","3","56494279400| 56096631200| 57188568215","2015","Russian Journal of Ecology","4.15","85","26","2.31","12","11","Danilov, A.S., Smirnov, U.D., Pashkevich, M.A. (2015).The system of the ecological monitoring of environment which is based on the usage of UAV. Russian Journal of Ecology,46(1) 14-19","https://www.scopus.com/record/display.url?eid=2-s2.0-84921803476&origin=resultslist","10.1134/S1067413615010038","Article","2-s2.0-84921803476","Saint Petersburg Mining University","60029071","Saint Petersburg Mining University","Russian Federation","1105","Ecology, Evolution, Behavior and Systematics","Polytetrafluoroethylenes,Polymers,Chains","1389","Open Pit Mine,Surface Mining,Dusting","56529","6.693","75.504"
"Extreme spatial variability in riverine sediment load inputs due to soil loss in surface mining areas of the Lake Baikal basin","Pietroń, J.| Chalov, S.R.| Chalova, A.S.| Alekseenko, A.V.| Jarsjö, J.","5","56183439100| 24166504600| 56055914300| 56333671700| 6603550210","2017","Catena","3.48","80","25","2.48","7","10","Pietroń, J., Chalov, S.R., Chalova, A.S. and 2 more (...) (2017).Extreme spatial variability in riverine sediment load inputs due to soil loss in surface mining areas of the Lake Baikal basin. Catena,15282-93","https://www.scopus.com/record/display.url?eid=2-s2.0-85009205994&origin=resultslist","10.1016/j.catena.2017.01.008","Article","2-s2.0-85009205994","Saint Petersburg Mining University| Lomonosov Moscow State University| Stockholm University","60028378| 60028378| 60007457| 60029071","Stockholms universitet| Stockholms universitet| Lomonosov Moscow State University| Saint Petersburg Mining University","Russian Federation| Sweden","1904","Earth-Surface Processes","Wetlands,Desertification,Plateau","674","Lake Baikal,Mongolia,River Basins","46599","38.554","72.884"
