
"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"Problem of the human capital quality reducing in conditions of educational unification","Popkova, E.G.| Chechina, O.S.| Abramov, S.A.","3","55671568200| 56685412400| 56684633600","2015","Mediterranean Journal of Social Sciences","4.16","110","78","28.63","2","1","Popkova, E.G., Chechina, O.S., Abramov, S.A. (2015).Problem of the human capital quality reducing in conditions of educational unification. Mediterranean Journal of Social Sciences,6(36) 95-100","https://www.scopus.com/record/display.url?eid=2-s2.0-84931067551&origin=resultslist","10.5901/mjss.2015.v6n3s6p95","Article","2-s2.0-84931067551","Samara State Technical University| Volgograd State Technical University","60029073| 60021885| 114488993","Volgograd State Technical University| Samara State Technical University| Volgograd Scientific and Technical Center","Russian Federation","1200| 2000| 3300","General Arts and Humanities| General Economics,Econometrics and Finance| General Social Sciences","Students,Russian,Education","1114","Import Substitution,Economic Security,Agroindustrial Complex","37995","77.644","94.3"
"Tailor-Made Microporous Metal–Organic Frameworks for the Full Separation of Propane from Propylene Through Selective Size Exclusion","Wang, H.| Dong, X.| Colombo, V.| Wang, Q.| Liu, Y.| Liu, W.| Wang, X.-L.| Huang, X.-Y.| Proserpio, D.M.| Sironi, A.| Han, Y.| Li, J.","12","55669783000| 56888161500| 16241203000| 57193862048| 57204473206| 56650330600| 8931652500| 57198045606| 7004480576| 7005666143| 7404096105| 57196158092","2018","Advanced Materials","2.68","63","57","6.63","1","2","Wang, H., Dong, X., Colombo, V. and 9 more (...) (2018).Tailor-Made Microporous Metal–Organic Frameworks for the Full Separation of Propane from Propylene Through Selective Size Exclusion. Advanced Materials,30(49) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85055723798&origin=resultslist","10.1002/adma.201805088","Article","2-s2.0-85055723798","Shenzhen Polytechnic| Samara State Technical University| Northeast Normal University| CAS - Fujian Institute of Research on the Structure of Matter| King Abdullah University of Science and Technology| CAS - State Key Laboratory of Structural Chemistry, Fuzhou| Rutgers - The State University of New Jersey, New Brunswick| University of Milan| Chinese Academy of Sciences","60119141| 60007807| 60092945| 60030318| 60009509| 60073523| 60002246| 60019499| 60021885","Rutgers University–New Brunswick| Shenzhen Polytechnic| King Abdullah University of Science and Technology| Università degli Studi di Milano| Northeast Normal University| State Key Laboratory of Structural Chemistry, Fuzhou| Fujian Institute of Research On the Structure of Matter Chinese Academy of Sciences| Chinese Academy of Sciences| Samara State Technical University","China| Saudi Arabia| United States| Italy| Russian Federation","2210| 2211| 2500","Mechanical Engineering| Mechanics of Materials| General Materials Science","Ligands,Crystal Structure,Organometallics","71","Metal-Organic Frameworks,Schläfli Symbol,Isophthalate","7","99.197","99.917"
"Management of small innovational enterprise under the conditions of global competition: Possibilities and threats","Bogdanova, S.V.| Kozel, I.V.| Ermolina, L.V.| Litvinova, T.N.","4","57189589550| 57191250624| 56685231600| 56600225000","2016","European Research Studies Journal","2.14","55","57","17.81","3","1","Bogdanova, S.V., Kozel, I.V., Ermolina, L.V. and 1 more (...) (2016).Management of small innovational enterprise under the conditions of global competition: Possibilities and threats. European Research Studies Journal,19(2) 268-275","https://www.scopus.com/record/display.url?eid=2-s2.0-84988419964&origin=resultslist","-","Article","2-s2.0-84988419964","Samara State Technical University| Stavropol State Agrarian University","60084650| 60021885| 60107592","Stavropol State Agrarian University| Samara State Technical University| Federal State Educational Institution of Higher Education, Volgograd State Agricultural University","Russian Federation","1400| 2000","General Business,Management and Accounting| General Economics,Econometrics and Finance","Students,Russian,Education","1114","Agroindustrial Complex,Eurasian Economic Union,EAEU","27875","77.644","99.247"
"Classifiers of nonconformities in norms and requirements","Klochkov, Y.| Gazizulina, A.| Ostapenko, M.| Eskina, E.| Vlasova, N.","5","57202887977| 57188622302| 57193077381| 57148123100| 57193079980","2016","2016 5th International Conference on Reliability, Infocom Technologies and Optimization, ICRITO 2016: Trends and Future Directions","8.41","96","50","12.14","3","1","Klochkov, Y., Gazizulina, A., Ostapenko, M. and 2 more (...) (2016).Classifiers of nonconformities in norms and requirements. 2016 5th International Conference on Reliability, Infocom Technologies and Optimization, ICRITO 2016: Trends and Future Directions,96-99","https://www.scopus.com/record/display.url?eid=2-s2.0-85010618478&origin=resultslist","10.1109/ICRITO.2016.7784933","Conference Paper","2-s2.0-85010618478","Samara State Technical University| Tyumen State Oil and Gas University| Samara National Research University| Peter the Great St. Petersburg Polytechnic University","60017103| 60104752| 60011415| 60021885","Peter the Great St. Petersburg Polytechnic University| Tyumen industrial University| Samara National Research University| Samara State Technical University","Russian Federation","1710| 1712| 2611","Information Systems| Software| Modeling and Simulation","Machining,Cutting,Milling (Machining)","179","Duplex Stainless Steel,Metal Cutting,Quality Management System","91808","91.499","83.792"
"Ortho-Quinone methides as key intermediates in cascade heterocyclizations","Osipov, D.V.| Osyanin, V.A.| Klimochkin, Y.N.","3","36144667400| 57217627372| 6603723001","2017","Russian Chemical Reviews","1.16","73","48","0.77","3","36","Osipov, D.V., Osyanin, V.A., Klimochkin, Y.N. (2017).Ortho-Quinone methides as key intermediates in cascade heterocyclizations. Russian Chemical Reviews,86(7) 625-687","https://www.scopus.com/record/display.url?eid=2-s2.0-85026633099&origin=resultslist","10.1070/RCR4679","Review","2-s2.0-85026633099","Samara State Technical University| People's Friendship University of Russia","60021885| 60015024","Samara State Technical University| RUDN University","Russian Federation","1600","General Chemistry","Synthesis (Chemical),Rate Constants,Quinones","642","Quinone Methide,Enantioselectivity,Coumaran","21551","29.451","96.594"
"Model of database design in the conditions of limited resources","Klochkov, Y.| Klochkova, E.| Antipova, O.| Kiyatkina, E.| Vasilieva, I.| Knyazkina, E.","6","57202887977| 57202496058| 57202891508| 57193072974| 57144166500| 56509583300","2016","2016 5th International Conference on Reliability, Infocom Technologies and Optimization, ICRITO 2016: Trends and Future Directions","10.45","122","47","10.69","4","1","Klochkov, Y., Klochkova, E., Antipova, O. and 3 more (...) (2016).Model of database design in the conditions of limited resources. 2016 5th International Conference on Reliability, Infocom Technologies and Optimization, ICRITO 2016: Trends and Future Directions,64-66","https://www.scopus.com/record/display.url?eid=2-s2.0-85010521594&origin=resultslist","10.1109/ICRITO.2016.7784927","Conference Paper","2-s2.0-85010521594","Samara State Technical University| Samara National Research University| Togliatti State University| Peter the Great St. Petersburg Polytechnic University","60017103| 60096874| 60021885| 60011415","Peter the Great St. Petersburg Polytechnic University| Togliatti State University| Samara State Technical University| Samara National Research University","Russian Federation","1710| 1712| 2611","Information Systems| Software| Modeling and Simulation","Machining,Cutting,Milling (Machining)","179","Duplex Stainless Steel,Metal Cutting,Quality Management System","91808","91.499","83.792"
"Modern Trends of Organic Chemistry in Russian Universities","Konovalov, A.I.| Antipin, I.S.| Burilov, V.A.| Madzhidov, T.I.| Kurbangalieva, A.R.| Nemtarev, A.V.| Solovieva, S.E.| Stoikov, I.I.| Mamedov, V.A.| Zakharova, L.Y.| Gavrilova, E.L.| Sinyashin, O.G.| Balova, I.A.| Vasilyev, A.V.| Zenkevich, I.G.| Krasavin, M.Y.| Kuznetsov, M.A.| Molchanov, A.P.| Novikov, M.S.| Nikolaev, V.A.| Rodina, L.L.| Khlebnikov, A.F.| Beletskaya, I.P.| Vatsadze, S.Z.| Gromov, S.P.| Zyk, N.V.| Lebedev, A.T.| Lemenovskii, D.A.| Petrosyan, V.S.| Nenaidenko, V.G.| Negrebetskii, V.V.| Baukov, Y.I.| Shmigol’, T.A.| Korlyukov, A.A.| Tikhomirov, A.S.| Shchekotikhin, A.E.| Traven’, V.F.| Voskresenskii, L.G.| Zubkov, F.I.| Golubchikov, O.A.| Semeikin, A.S.| Berezin, D.B.| Stuzhin, P.A.| Filimonov, V.D.| Krasnokutskaya, E.A.| Fedorov, A.Y.| Nyuchev, A.V.| Orlov, V.Y.| Begunov, R.S.| Rusakov, A.I.| Kolobov, A.V.| Kofanov, E.R.| Fedotova, O.V.| Egorova, A.Y.| Charushin, V.N.| Chupakhin, O.N.| Klimochkin, Y.N.| Osyanin, V.A.| Reznikov, A.N.| Fisyuk, A.S.| Sagitullina, G.P.| Aksenov, A.V.| Aksenov, N.A.| Grachev, M.K.| Maslennikova, V.I.| Koroteev, M.P.| Brel’, A.K.| Lisina, S.V.| Medvedeva, S.M.| Shikhaliev, K.S.| Suboch, G.A.| Tovbis, M.S.| Mironovich, L.M.| Ivanov, S.M.| Kurbatov, S.V.| Kletskii, M.E.| Burov, O.N.| Kobrakov, K.I.| Kuznetsov, D.N.","79","7202062562| 7003413209| 25225197900| 35146305500| 6603260071| 12797058700| 56962758100| 6602887534| 7005126726| 56047070300| 7006603988| 57188848065| 6603355046| 7006302601| 7005963772| 8895525800| 56403462800| 7102164266| 7006245222| 56971682700| 7003746945| 7005426114| 35069022600| 6701846497| 57200902717| 7005128265| 7402203429| 35502642300| 7005713314| 35495423300| 6701671737| 7003413390| 36093347100| 27967788300| 54885725200| 6602658689| 57208522812| 57202036379| 6603592191| 7004211482| 7004645281| 6701403073| 7003926722| 7102525365| 6603407469| 57210239812| 41661885100| 7401885267| 55924044800| 7006492583| 7006432477| 6506157396| 8946653200| 7007103708| 7006350819| 7006259116| 6603723001| 57217627372| 7102270315| 6602453024| 12785747200| 7005446472| 26027400300| 7005694826| 7003618229| 6603791322| 8972660200| 26027051600| 7005062145| 6603558449| 35605837400| 16311123400| 6701836202| 57193843708| 6701606769| 55913017800| 23033004000| 6701788856| 7101858554","2018","Russian Journal of Organic Chemistry","18.12","582","47","2.98","2","8","Konovalov, A.I., Antipin, I.S., Burilov, V.A. and 76 more (...) (2018).Modern Trends of Organic Chemistry in Russian Universities. Russian Journal of Organic Chemistry,54(2) 157-371","https://www.scopus.com/record/display.url?eid=2-s2.0-85046906006&origin=resultslist","10.1134/S107042801802001X","Review","2-s2.0-85046906006","Volgograd State Medical University| Moscow State Pedagogical University| RAS - Kazan Scientific Center| Lomonosov Moscow State University| Nizhny Novgorod State University| Kazan Volga Region Federal University| Southwest State University| Moscow State Academy of Veterinary Medicine and Biotechnology named after K.I. Skryabin| Mendeleev University of Chemical Technology| Omsk State University| North-Caucasus Federal University| Ural Federal University| Ivanovo State University of Chemical Technology| Omsk State Technical University| RAS - Zelinsky Institute of Organic Chemistry| Russian Academy of Sciences| Voronezh State University| Reshetnev Siberian State Aerospace University| Russian Academy of Medical Sciences| People's Friendship University of Russia| Samara State Technical University| Saratov State University| Pirogov Russian National Research Medical University| St. Petersburg State University| Tomsk Polytechnic University| Yaroslavl State University| Yaroslavl State Technical University| Moscow State University of Design and Technology| Southern Federal University| Kazan National Research Technological University","60070941| 60096198| 60095468| 60021331| 60105002| 60031888| 60007457| 60070948| 60012138| 60109881| 60015024| 60022520| 60024069| 60008673| 60001420| 60017083| 60107933| 60068671| 60103702| 60021885| 60031116| 60075514| 60070541| 60068676| 60021785| 60004223| 60075528| 60071000| 60021331| 60014039| 60025383| 60070998","Kazan Federal University| Kazan Scientific Center, Russian Academy of Sciences| A.E. Arbuzov Institute of Organic and Physical Chemistry, Kazan Scientific Center, Russian Academy o| Russian Academy of Sciences| Kazan National Research Technological University| Saint Petersburg State University| Lomonosov Moscow State University| Pirogov Russian National Research Medical University (RNRMU)| Mendeleev University of Chemical Technology of Russia| Gause Institute of New Antibiotics RAMS| RUDN University| Ivanovo State University of Chemistry and Technology| Tomsk Polytechnic University| Lobachevsky State University of Nizhni Novgorod| Yaroslavl State University| Yaroslavl State Technical University| Moscow State Academy of Veterinary Medicine and Biotechnology named after K.I. Skryabin| Saratov State University| Ural Federal University| Samara State Technical University| Omskij Gosudarstvennyj Universitet| Omsk State Technical University| North Caucasus Federal University| Moscow Pedagogical State University| Volgograd State Medical University| Voronezh State University| Reshetnev Siberian State University of Science and Technology| Southwest State University| Russian Academy of Sciences| N.D. Zelinsky Institute of Organic Chemistry, Russian Academy of Sciences| Southern Federal University| The Kosygin State University of Russia","Russian Federation","1605","Organic Chemistry","Fluorescence,Probes,Supramolecular Chemistry","248","Thiacalix(4)Arene,P-Tert-Butylcalix(8)Arene,Aromatic Hydrocarbons","21917","96.921","84.795"
"Conformity assessment of car quality databases exemplified on the case of the Russian car manufacturer 'Auto VAZ'","Kozlovsky, V.| Klochkov, Y.| Ostapenko, M.| Ushanova, N.| Antipov, D.","5","57202887407| 57202887977| 57193077381| 57193075378| 57193562806","2016","2016 5th International Conference on Reliability, Infocom Technologies and Optimization, ICRITO 2016: Trends and Future Directions","8.61","93","44","10.2","4","1","Kozlovsky, V., Klochkov, Y., Ostapenko, M. and 2 more (...) (2016).Conformity assessment of car quality databases exemplified on the case of the Russian car manufacturer 'Auto VAZ'. 2016 5th International Conference on Reliability, Infocom Technologies and Optimization, ICRITO 2016: Trends and Future Directions,57-60","https://www.scopus.com/record/display.url?eid=2-s2.0-85010569148&origin=resultslist","10.1109/ICRITO.2016.7784925","Conference Paper","2-s2.0-85010569148","Samara State Technical University| Tyumen State Oil and Gas University| Samara National Research University| Peter the Great St. Petersburg Polytechnic University","60021885| 60017103| 60104752| 60021885| 60011415","Samara State Technical University| Peter the Great St. Petersburg Polytechnic University| Tyumen industrial University| Samara State Technical University| Samara National Research University","Russian Federation","1710| 1712| 2611","Information Systems| Software| Modeling and Simulation","Machining,Cutting,Milling (Machining)","179","Duplex Stainless Steel,Metal Cutting,Quality Management System","91808","91.499","83.792"
"Investigation of co-effect of 12-tungstophosphoric heteropolyacid, nickel citrate and carbon-coated alumina in preparation of NiW catalysts for HDS, HYD and HDN reactions","Nikulshin, P.A.| Minaev, P.P.| Mozhaev, A.V.| Maslakov, K.I.| Kulikova, M.S.| Pimerzin, A.A.","6","57204529611| 55504329200| 54895708400| 6602387416| 56600197300| 6602375906","2015","Applied Catalysis B: Environmental","4.15","135","44","3.31","6","6","Nikulshin, P.A., Minaev, P.P., Mozhaev, A.V. and 3 more (...) (2015).Investigation of co-effect of 12-tungstophosphoric heteropolyacid, nickel citrate and carbon-coated alumina in preparation of NiW catalysts for HDS, HYD and HDN reactions. Applied Catalysis B: Environmental,176-177374-384","https://www.scopus.com/record/display.url?eid=2-s2.0-84928150353&origin=resultslist","10.1016/j.apcatb.2015.04.011","Article","2-s2.0-84928150353","Samara State Technical University| Lomonosov Moscow State University","60021885| 60007457","Samara State Technical University| Lomonosov Moscow State University","Russian Federation","1503| 1508| 2300","Catalysis| Process Chemistry and Technology| General Environmental Science","Catalysts,Zeolites,Hydrogenation","7","Hydrodesulfurization,Dibenzothiophene,Catalyst Supports","114","99.531","98.661"
"Innovational mechanism of implementation of cluster initiatives in business","Frank, E.V.| Mashevskaya, O.V.| Ermolina, L.V.","3","57191511434| 57191515962| 56685231600","2016","European Research Studies Journal","2.83","71","43","13.35","4","1","Frank, E.V., Mashevskaya, O.V., Ermolina, L.V. (2016).Innovational mechanism of implementation of cluster initiatives in business. European Research Studies Journal,19(1) 179-190","https://www.scopus.com/record/display.url?eid=2-s2.0-84991209479&origin=resultslist","-","Article","2-s2.0-84991209479","Samara State Technical University","60021885","Samara State Technical University","Russian Federation","1400| 2000","General Business,Management and Accounting| General Economics,Econometrics and Finance","Students,Russian,Education","1114","Import Substitution,Innovative Activity,Russian Economy","33493","77.644","97.551"
