
"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"Modified gravity theories on a nutshell: Inflation, bounce and late-time evolution","Nojiri, S.| Odintsov, S.D.| Oikonomou, V.K.","3","7006907694| 24326502400| 16304668800","2017","Physics Reports","2.61","72","709","24.18","1","1","Nojiri, S., Odintsov, S.D., Oikonomou, V.K. (2017).Modified gravity theories on a nutshell: Inflation, bounce and late-time evolution. Physics Reports,6921-104","https://www.scopus.com/record/display.url?eid=2-s2.0-85054390678&origin=resultslist","10.1016/j.physrep.2017.06.001","Review","2-s2.0-85054390678","Tomsk State University of Control Systems and Radioelectronics| CSIC| Institute of Space Studies of Catalonia| ICREA| CSIC - Institute of Space Sciences| Tomsk State Pedagogical University| National Institute for Nuclear Physics| University of Naples Federico II| Nagoya University| High Energy Accelerator Research Organization, Tsukuba","60000264| 60000264| 60003218| 60006754| 60103733| 60103733| 60022558| 60032907| 60010892| 60069252| 60113231| 60017293","Nagoya University| Nagoya University| High Energy Accelerator Research Organization, Tsukuba| Consejo Superior de Investigaciones Científicas| CSIC - Instituto de Ciencias del Espacio (ICE)| CSIC - Instituto de Ciencias del Espacio (ICE)| Instituto de Estudios Espaciales de Cataluña| Institució Catalana de Recerca i Estudis Avançats| Tomsk State University of Control Systems and Radioelectronics| Tomsk State Pedagogical University - TSPU| Istituto Nazionale di Fisica Nucleare, Sezione di Napoli| Università degli Studi di Napoli Federico II","Spain| Japan| Italy| Russian Federation","3100","General Physics and Astronomy","Gravitation,Black Holes (Astronomy),Models","15","Modified Gravity,Noether,Cosmology","2410","95.85","98.194"
"F(T) teleparallel gravity and cosmology","Cai, Y.-F.| Capozziello, S.| De Laurentis, M.| Saridakis, E.N.","4","36985178000| 7005315122| 57217298918| 8866983000","2016","Reports on Progress in Physics","1.81","59","409","11.74","1","1","Cai, Y.-F., Capozziello, S., De Laurentis, M. and 1 more (...) (2016).F(T) teleparallel gravity and cosmology. Reports on Progress in Physics,79(10) ","https://www.scopus.com/record/display.url?eid=2-s2.0-84989945055&origin=resultslist","10.1088/0034-4885/79/10/106901","Review","2-s2.0-84989945055","Tomsk State University of Control Systems and Radioelectronics| Goethe University Frankfurt| National Technical University of Athens| University of Science and Technology of China| Gran Sasso Science Institute| Pontificia Universidad Católica de Valparaíso| Tomsk State Pedagogical University| National Institute for Nuclear Physics| University of Naples Federico II| Baylor University| Chinese Academy of Sciences| McGill University","60019499| 60019118| 60002494| 60017293| 60136210| 60017293| 60021660| 60007762| 60083550| 60069252| 60010892| 60023520| 60011278| 60002947","Chinese Academy of Sciences| University of Science and Technology of China| Université McGill| Università degli Studi di Napoli Federico II| Gran Sasso Science Institute| Università degli Studi di Napoli Federico II| Istituto Nazionale di Fisica Nucleare - INFN| Goethe-Universität Frankfurt am Main| Frankfurt Institute for Advanced Studies| Tomsk State Pedagogical University - TSPU| Tomsk State University of Control Systems and Radioelectronics| Pontificia Universidad Católica de Valparaíso| Baylor University| National Technical University of Athens","Chile| China| United States| Germany| Greece| Italy| Russian Federation| Canada","3100","General Physics and Astronomy","Gravitation,Black Holes (Astronomy),Models","15","Modified Gravity,Noether,Cosmology","2410","95.85","98.194"
"Mass-radius relation for neutron stars in f (R) gravity","Capozziello, S.| De Laurentis, M.| Farinelli, R.| Odintsov, S.D.","4","7005315122| 57217298918| 57202592808| 24326502400","2016","Physical Review D","1.29","22","109","6.52","1","2","Capozziello, S., De Laurentis, M., Farinelli, R. and 1 more (...) (2016).Mass-radius relation for neutron stars in f (R) gravity. Physical Review D,93(2) ","https://www.scopus.com/record/display.url?eid=2-s2.0-84961288135&origin=resultslist","10.1103/PhysRevD.93.023501","Article","2-s2.0-84961288135","CSIC| Tomsk State University of Control Systems and Radioelectronics| Goethe University Frankfurt| ICREA| Gran Sasso Science Institute| CSIC - Institute of Space Sciences| Autonomous University of Barcelona| Tomsk State Pedagogical University| National Institute for Nuclear Physics| University of Naples Federico II| University of Geneva","60017293| 60017293| 60021660| 60136210| 60007762| 60069252| 60010892| 60004718| 60032907| 60103733| 60103733| 60023020","Università degli Studi di Napoli Federico II| Università degli Studi di Napoli Federico II| Istituto Nazionale di Fisica Nucleare - INFN| Gran Sasso Science Institute| Goethe-Universität Frankfurt am Main| Tomsk State Pedagogical University - TSPU| Tomsk State University of Control Systems and Radioelectronics| Université de Genève| Institució Catalana de Recerca i Estudis Avançats| CSIC - Instituto de Ciencias del Espacio (ICE)| CSIC - Instituto de Ciencias del Espacio (ICE)| Universitat Autònoma de Barcelona","Spain| Germany| Switzerland| Italy| Russian Federation","3101","Physics and Astronomy (miscellaneous)","Gravitation,Black Holes (Astronomy),Models","15","Modified Gravity,Noether,Cosmology","2410","95.85","98.194"
"Extended gravity cosmography","Capozziello, S.| D'Agostino, R.| Luongo, O.","3","7005315122| 57191994981| 35176257700","2019","International Journal of Modern Physics D","2.3","30","83","12.31","1","1","Capozziello, S., D'Agostino, R., Luongo, O. (2019).Extended gravity cosmography. International Journal of Modern Physics D,28(10) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85065411297&origin=resultslist","10.1142/S0218271819300167","Review","2-s2.0-85065411297","Tomsk State University of Control Systems and Radioelectronics| University of Rome Tor Vergata| Gran Sasso Science Institute| Tomsk State Pedagogical University| National Institute for Nuclear Physics| University of Naples Federico II| University of Camerino| Al Farabi Kazakh National University","60113231| 60017293| 60136210| 60010892| 60069252| 60021660| 60027509| 60016340| 60026298| 60071847","Istituto Nazionale di Fisica Nucleare, Sezione di Napoli| Università degli Studi di Napoli Federico II| Gran Sasso Science Institute| Tomsk State University of Control Systems and Radioelectronics| Tomsk State Pedagogical University - TSPU| Istituto Nazionale di Fisica Nucleare - INFN| Università degli Studi di Roma Tor Vergata| INFN, Laboratori Nazionali Di Frascati| Università degli Studi di Camerino| Al Farabi Kazakh National University","Kazakhstan| Italy| Russian Federation","1912| 2610| 3103","Space and Planetary Science| Mathematical Physics| Astronomy and Astrophysics","Gravitation,Black Holes (Astronomy),Models","15","Modified Gravity,Noether,Cosmology","2410","95.85","98.194"
"Viscous cosmology for early-And late-Time universe","Brevik, I.| Grøn, Ø.| De Haro, J.| Odintsov, S.D.| Saridakis, E.N.","5","7006562460| 6701341242| 54976349900| 24326502400| 8866983000","2017","International Journal of Modern Physics D","2.36","37","71","3.9","2","5","Brevik, I., Grøn, Ø., De Haro, J. and 2 more (...) (2017).Viscous cosmology for early-And late-Time universe. International Journal of Modern Physics D,26(14) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85025115563&origin=resultslist","10.1142/S0218271817300245","Review","2-s2.0-85025115563","Tomsk State University of Control Systems and Radioelectronics| Kazan Volga Region Federal University| CSIC| Institute of Space Studies of Catalonia| National Technical University of Athens| ICREA| Polytechnic University of Catalonia| CSIC - Institute of Space Sciences| Tomsk State Pedagogical University| Oslo Metropolitan University| National Tsing Hua University| Baylor University| Norwegian University of Science and Technology","60013141| 60068730| 60007592| 60032907| 60022558| 60006754| 60103733| 60103733| 60010892| 60069252| 60070941| 60002947| 60026071| 60011278","Norges teknisk-naturvitenskapelige universitet| OsloMet – storbyuniversitetet| Universitat Politècnica de Catalunya| Institució Catalana de Recerca i Estudis Avançats| Instituto de Estudios Espaciales de Cataluña| Consejo Superior de Investigaciones Científicas| CSIC - Instituto de Ciencias del Espacio (ICE)| CSIC - Instituto de Ciencias del Espacio (ICE)| Tomsk State University of Control Systems and Radioelectronics| Tomsk State Pedagogical University - TSPU| Kazan Federal University| National Technical University of Athens| National Center for Theoretical Sciences Taiwan| Baylor University","Taiwan| Norway| Spain| United States| Greece| Russian Federation","1912| 2610| 3103","Space and Planetary Science| Mathematical Physics| Astronomy and Astrophysics","Gravitation,Black Holes (Astronomy),Models","15","Dark Energy,Chaplygin Gas,Cosmological Models","76","95.85","99.13"
"Singular bouncing cosmology from Gauss-Bonnet modified gravity","Oikonomou, V.K.","1","16304668800","2015","Physical Review D - Particles, Fields, Gravitation and Cosmology","0.63","10","67","4.31","3","4","Oikonomou, V.K. (2015).Singular bouncing cosmology from Gauss-Bonnet modified gravity. Physical Review D - Particles, Fields, Gravitation and Cosmology,92(12) ","https://www.scopus.com/record/display.url?eid=2-s2.0-84952333923&origin=resultslist","10.1103/PhysRevD.92.124027","Article","2-s2.0-84952333923","Tomsk State University of Control Systems and Radioelectronics| Tomsk State Pedagogical University","60069252| 60010892","Tomsk State Pedagogical University - TSPU| Tomsk State University of Control Systems and Radioelectronics","Russian Federation","3101| 3106","Physics and Astronomy (miscellaneous)| Nuclear and High Energy Physics","Gravitation,Black Holes (Astronomy),Models","15","Modified Gravity,Noether,Cosmology","2410","95.85","98.194"
"Singular inflationary universe from F (R) gravity","Odintsov, S.D.| Oikonomou, V.K.","2","24326502400| 16304668800","2015","Physical Review D - Particles, Fields, Gravitation and Cosmology","1.89","28","66","4.69","3","4","Odintsov, S.D., Oikonomou, V.K. (2015).Singular inflationary universe from F (R) gravity. Physical Review D - Particles, Fields, Gravitation and Cosmology,92(12) ","https://www.scopus.com/record/display.url?eid=2-s2.0-84952642469&origin=resultslist","10.1103/PhysRevD.92.124024","Article","2-s2.0-84952642469","CSIC| Tomsk State University of Control Systems and Radioelectronics| ICREA| CSIC - Institute of Space Sciences| Tomsk State Pedagogical University","60103733| 60103733| 60006754| 60032907| 60069252| 60010892","CSIC - Instituto de Ciencias del Espacio (ICE)| CSIC - Instituto de Ciencias del Espacio (ICE)| Consejo Superior de Investigaciones Científicas| Institució Catalana de Recerca i Estudis Avançats| Tomsk State Pedagogical University - TSPU| Tomsk State University of Control Systems and Radioelectronics","Spain| Russian Federation","3101| 3106","Physics and Astronomy (miscellaneous)| Nuclear and High Energy Physics","Gravitation,Black Holes (Astronomy),Models","15","Dark Energy,Chaplygin Gas,Cosmological Models","76","95.85","99.13"
"Accelerating cosmologies and the phase structure of F (R) gravity with Lagrange multiplier constraints: A mimetic approach","Odintsov, S.D.| Oikonomou, V.K.","2","24326502400| 16304668800","2016","Physical Review D","1.16","19","54","4.59","3","4","Odintsov, S.D., Oikonomou, V.K. (2016).Accelerating cosmologies and the phase structure of F (R) gravity with Lagrange multiplier constraints: A mimetic approach. Physical Review D,93(2) ","https://www.scopus.com/record/display.url?eid=2-s2.0-84955512090&origin=resultslist","10.1103/PhysRevD.93.023517","Article","2-s2.0-84955512090","CSIC| Tomsk State University of Control Systems and Radioelectronics| Tomsk State University| ICREA| CSIC - Institute of Space Sciences| Tomsk State Pedagogical University| Autonomous University of Barcelona| Aristotle University of Thessaloniki","60032907| 60103733| 60103733| 60023020| 60015331| 60069252| 60010892| 60016896","Institució Catalana de Recerca i Estudis Avançats| CSIC - Instituto de Ciencias del Espacio (ICE)| CSIC - Instituto de Ciencias del Espacio (ICE)| Universitat Autònoma de Barcelona| Aristotle University of Thessaloniki| Tomsk State Pedagogical University - TSPU| Tomsk State University of Control Systems and Radioelectronics| Tomsk State University","Spain| Greece| Russian Federation","3101","Physics and Astronomy (miscellaneous)","Gravitation,Black Holes (Astronomy),Models","15","Modified Gravity,Noether,Cosmology","2410","95.85","98.194"
"Correspondence of F(R) gravity singularities in Jordan and Einstein frames","Bahamonde, S.| Odintsov, S.D.| Oikonomou, V.K.| Wright, M.","4","55811800800| 24326502400| 16304668800| 55015594800","2016","Annals of Physics","1.64","29","53","3.6","3","5","Bahamonde, S., Odintsov, S.D., Oikonomou, V.K. and 1 more (...) (2016).Correspondence of F(R) gravity singularities in Jordan and Einstein frames. Annals of Physics,37396-114","https://www.scopus.com/record/display.url?eid=2-s2.0-84978835974&origin=resultslist","10.1016/j.aop.2016.06.020","Article","2-s2.0-84978835974","CSIC| Kazan Volga Region Federal University| Tomsk State University of Control Systems and Radioelectronics| Institute of Space Studies of Catalonia| ICREA| CSIC - Institute of Space Sciences| Tomsk State Pedagogical University| University College London","60022148| 60006754| 60103733| 60103733| 60022558| 60032907| 60070941| 60010892| 60069252","University College London| Consejo Superior de Investigaciones Científicas| CSIC - Instituto de Ciencias del Espacio (ICE)| CSIC - Instituto de Ciencias del Espacio (ICE)| Instituto de Estudios Espaciales de Cataluña| Institució Catalana de Recerca i Estudis Avançats| Kazan Federal University| Tomsk State University of Control Systems and Radioelectronics| Tomsk State Pedagogical University - TSPU","United Kingdom| Spain| Russian Federation","3100","General Physics and Astronomy","Gravitation,Black Holes (Astronomy),Models","15","Dark Energy,Chaplygin Gas,Cosmological Models","76","95.85","99.13"
"UWB Pulse Decomposition in Simple Printed Structures","Gazizov, A.T.| Zabolotsky, A.M.| Gazizov, T.R.","3","56584279500| 57095729600| 15064111300","2016","IEEE Transactions on Electromagnetic Compatibility","2.14","38","50","4.12","3","4","Gazizov, A.T., Zabolotsky, A.M., Gazizov, T.R. (2016).UWB Pulse Decomposition in Simple Printed Structures. IEEE Transactions on Electromagnetic Compatibility,58(4) 1136-1142","https://www.scopus.com/record/display.url?eid=2-s2.0-84992292142&origin=resultslist","10.1109/TEMC.2016.2548783","Article","2-s2.0-84992292142","Tomsk State University of Control Systems and Radioelectronics| Tomsk Polytechnic University","60024069| 60010892","Tomsk Polytechnic University| Tomsk State University of Control Systems and Radioelectronics","Russian Federation","2208| 3104| 3107","Electrical and Electronic Engineering| Condensed Matter Physics| Atomic and Molecular Physics, and Optics","Electromagnetic Compatibility,Electromagnetic Pulse,Reverberation","838","Ultrashort Pulses,Meanders,Microstrip Lines","39589","28.179","69.76"
