

"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"Superior Strength and Multiple Strengthening Mechanisms in Nanocrystalline TWIP Steel","Kim, J.G.| Enikeev, N.A.| Seol, J.B.| Abramova, M.M.| Karavaeva, M.V.| Valiev, R.Z.| Park, C.G.| Kim, H.S.","8","55975246500| 57193776181| 32267710700| 35224498700| 6602483838| 7103235084| 7408416387| 55921490700","2018","Scientific Reports","3.75","93","771","63.03","1","1","Kim, J.G., Enikeev, N.A., Seol, J.B. and 5 more (...) (2018).Superior Strength and Multiple Strengthening Mechanisms in Nanocrystalline TWIP Steel. Scientific Reports,8(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85050674114&origin=resultslist","10.1038/s41598-018-29632-y","Article","2-s2.0-85050674114","St. Petersburg State University| Pohang University of Science and Technology| Ufa State Aviation Technical University","60032330| 60001458| 60031888| 60032330| 60032330","Pohang University of Science and Technology| Ufa State Aviation Technical University| Saint Petersburg State University| Pohang University of Science and Technology| Pohang University of Science and Technology","South Korea| Russian Federation","1000","Multidisciplinary","Microstructure,Steel,Austenite","20","Manganese Steel,Twinning,Stacking Fault Energy","3871","97.456","98.679"
"Producing Bulk Ultrafine-Grained Materials by Severe Plastic Deformation: Ten Years Later","Valiev, R.Z.| Estrin, Y.| Horita, Z.| Langdon, T.G.| Zehetbauer, M.J.| Zhu, Y.","6","7103235084| 7005031984| 7006530810| 7103087478| 7003265678| 57200203137","2016","JOM","11.71","294","223","21.17","1","1","Valiev, R.Z., Estrin, Y., Horita, Z. and 3 more (...) (2016).Producing Bulk Ultrafine-Grained Materials by Severe Plastic Deformation: Ten Years Later. JOM,68(4) 1216-1226","https://www.scopus.com/record/display.url?eid=2-s2.0-84957546710&origin=resultslist","10.1007/s11837-016-1820-6","Article","2-s2.0-84957546710","University of Southern California| St. Petersburg State University| University of Southampton| Monash University| North Carolina State University| National University of Science and Technology ""MISiS""| Ufa State Aviation Technical University| Nanjing University of Science and Technology| Kyushu University| University of Vienna","60001458| 60031888| 60019578| 60068681| 60011047| 60011047| 60029311| 60025225| 60025988| 60004923| 60010080","Ufa State Aviation Technical University| Saint Petersburg State University| Monash University| National University of Science & Technology (MISIS)| Kyushu University| Kyushu University| University of Southern California| University of Southampton| Universitat Wien| NC State University| Nanjing University of Science and Technology","Austria| United Kingdom| China| Japan| United States| Australia| Russian Federation","2200| 2500","General Engineering| General Materials Science","Microstructure,Steel,Austenite","20","Equal Channel Angular Pressing,Superplasticity,Grain Refinement","84","97.456","99.373"
"Review on superior strength and enhanced ductility of metallic nanomaterials","Ovid'ko, I.A.| Valiev, R.Z.| Zhu, Y.T.","3","35566184000| 7103235084| 57200203137","2018","Progress in Materials Science","5.3","305","218","6.59","1","2","Ovid'ko, I.A., Valiev, R.Z., Zhu, Y.T. (2018).Review on superior strength and enhanced ductility of metallic nanomaterials. Progress in Materials Science,94462-540","https://www.scopus.com/record/display.url?eid=2-s2.0-85042183430&origin=resultslist","10.1016/j.pmatsci.2018.02.002","Review","2-s2.0-85042183430","St. Petersburg State University| North Carolina State University| Peter the Great St. Petersburg Polytechnic University| Ufa State Aviation Technical University| Nanjing University of Science and Technology","60017103| 60031888| 60001458| 60004923| 60010080","Peter the Great St. Petersburg Polytechnic University| Saint Petersburg State University| Ufa State Aviation Technical University| NC State University| Nanjing University of Science and Technology","China| United States| Russian Federation","2500","General Materials Science","Microstructure,Steel,Austenite","20","Stacking Fault Energy,Grain Boundaries,Nanocrystalline","943","97.456","99.185"
"Fundamentals of superior properties in bulk NanoSPD materials","Valiev, R.Z.| Estrin, Y.| Horita, Z.| Langdon, T.G.| Zehetbauer, M.J.| Zhu, Y.T.","6","7103235084| 7005031984| 7006530810| 7103087478| 7003265678| 57200203137","2016","Materials Research Letters","2.69","106","174","9.34","1","1","Valiev, R.Z., Estrin, Y., Horita, Z. and 3 more (...) (2016).Fundamentals of superior properties in bulk NanoSPD materials. Materials Research Letters,4(1) 1-21","https://www.scopus.com/record/display.url?eid=2-s2.0-85009284750&origin=resultslist","10.1080/21663831.2015.1060543","Article","2-s2.0-85009284750","University of Southern California| St. Petersburg State University| University of Southampton| Monash University| North Carolina State University| National University of Science and Technology ""MISiS""| Ufa State Aviation Technical University| Nanjing University of Science and Technology| Kyushu University| University of Vienna","60001458| 60031888| 60019578| 60068681| 60011047| 60011047| 60029311| 60025225| 60025988| 60010080| 60004923","Ufa State Aviation Technical University| Saint Petersburg State University| Monash University| National University of Science & Technology (MISIS)| Kyushu University| Kyushu University| University of Southern California| University of Southampton| Universitat Wien| Nanjing University of Science and Technology| NC State University","Austria| United Kingdom| China| Japan| United States| Australia| Russian Federation","2500","General Materials Science","Microstructure,Steel,Austenite","20","Equal Channel Angular Pressing,Superplasticity,Grain Refinement","84","97.456","99.373"
"Conservation laws for time-fractional subdiffusion and diffusion-wave equations","Lukashchuk, S.Y.","1","6507539053","2015","Nonlinear Dynamics","1.24","26","95","7.33","2","2","Lukashchuk, S.Y. (2015).Conservation laws for time-fractional subdiffusion and diffusion-wave equations. Nonlinear Dynamics,80(1-2) 791-802","https://www.scopus.com/record/display.url?eid=2-s2.0-84925484432&origin=resultslist","10.1007/s11071-015-1906-7","Article","2-s2.0-84925484432","Ufa State Aviation Technical University","60001458","Ufa State Aviation Technical University","Russian Federation","2202| 2207| 2208| 2210| 2212| 2604","Aerospace Engineering| Control and Systems Engineering| Electrical and Electronic Engineering| Mechanical Engineering| Ocean Engineering| Applied Mathematics","Solitons,Waves,Nonlinear Equations","235","Conservation Laws,Lie Point Symmetries,Self-Adjointness","25838","80.187","76.263"
"Towards smart electrolytic plasma technologies: An overview of methodological approaches to process modelling","Parfenov, E.V.| Yerokhin, A.| Nevyantseva, R.R.| Gorbatkov, M.V.| Liang, C.-J.| Matthews, A.","6","7004501048| 6701690575| 8646868700| 56556936600| 55553036500| 7202611835","2015","Surface and Coatings Technology","1.38","138","94","1.9","2","14","Parfenov, E.V., Yerokhin, A., Nevyantseva, R.R. and 3 more (...) (2015).Towards smart electrolytic plasma technologies: An overview of methodological approaches to process modelling. Surface and Coatings Technology,269(1) 2-22","https://www.scopus.com/record/display.url?eid=2-s2.0-84933280329&origin=resultslist","10.1016/j.surfcoat.2015.02.019","Review","2-s2.0-84933280329","Ufa State Aviation Technical University| University of Sheffield","60001458| 60001881","Ufa State Aviation Technical University| The University of Sheffield","United Kingdom| Russian Federation","1600| 2505| 2508| 3104| 3110","General Chemistry| Materials Chemistry| Surfaces, Coatings and Films| Condensed Matter Physics| Surfaces and Interfaces","Magnesium Alloys,Alloys,Aluminum Alloys","106","Magnesium Alloys,Ceramic Coatings,Potentiodynamic Polarization","1487","93.775","98.739"
"Optimization of electrical conductivity and strength combination by structure design at the nanoscale in Al-Mg-Si alloys","Sauvage, X.| Bobruk, E.V.| Murashkin, M.Yu.| Nasedkina, Y.| Enikeev, N.A.| Valiev, R.Z.","6","6602886698| 6508090854| 6602585059| 13408973900| 57193776181| 7103235084","2015","Acta Materialia","3.93","133","93","4.61","2","4","Sauvage, X., Bobruk, E.V., Murashkin, M.Yu. and 3 more (...) (2015).Optimization of electrical conductivity and strength combination by structure design at the nanoscale in Al-Mg-Si alloys. Acta Materialia,98355-366","https://www.scopus.com/record/display.url?eid=2-s2.0-84938877919&origin=resultslist","10.1016/j.actamat.2015.07.039","Article","2-s2.0-84938877919","Université de Rouen| St. Petersburg State University| Ufa State Aviation Technical University| Institut national des sciences appliquées de Rouen Normandie","60122724| 60122724| 60025927| 60001458| 60031888","GPM - Groupe de Physique des matériaux| GPM - Groupe de Physique des matériaux| Institut National Des Sciences Appliquées de Rouen Normandie| Ufa State Aviation Technical University| Saint Petersburg State University","France| Russian Federation","2503| 2504| 2506| 2507","Ceramics and Composites| Electronic, Optical and Magnetic Materials| Metals and Alloys| Polymers and Plastics","Microstructure,Steel,Austenite","20","Equal Channel Angular Pressing,Superplasticity,Grain Refinement","84","97.456","99.373"
"Nonlinear self-adjointness, conservation laws and exact solutions of time-fractional Kompaneets equations","Gazizov, R.K.| Ibragimov, N.H.| Lukashchuk, S.","3","6603719313| 16174907400| 6507539053","2015","Communications in Nonlinear Science and Numerical Simulation","1.18","19","81","7.62","2","2","Gazizov, R.K., Ibragimov, N.H., Lukashchuk, S. (2015).Nonlinear self-adjointness, conservation laws and exact solutions of time-fractional Kompaneets equations. Communications in Nonlinear Science and Numerical Simulation,23(1-3) 153-163","https://www.scopus.com/record/display.url?eid=2-s2.0-84922791186&origin=resultslist","10.1016/j.cnsns.2014.11.010","Article","2-s2.0-84922791186","Blekinge Institute of Technology| Ufa State Aviation Technical University","60001458| 60016636","Ufa State Aviation Technical University| Blekinge Tekniska Högskola","Russian Federation| Sweden","2604| 2611| 2612","Applied Mathematics| Modeling and Simulation| Numerical Analysis","Fractional,Fractional Order,Derivatives","522","Fractional Differential Equation,Lie Symmetry,Korteweg-de Vries Equation","18091","81.459","96.897"
"Nanostructured Al and Cu alloys with superior strength and electrical conductivity","Murashkin, M.Y.| Sabirov, I.| Sauvage, X.| Valiev, R.Z.","4","6602585059| 22981386200| 6602886698| 7103235084","2016","Journal of Materials Science","5.01","177","75","5.66","2","3","Murashkin, M.Y., Sabirov, I., Sauvage, X. and 1 more (...) (2016).Nanostructured Al and Cu alloys with superior strength and electrical conductivity. Journal of Materials Science,51(1) 33-49","https://www.scopus.com/record/display.url?eid=2-s2.0-84946489840&origin=resultslist","10.1007/s10853-015-9354-9","Article","2-s2.0-84946489840","Université de Rouen| St. Petersburg State University| Instituto IMDEA Materiales| Ufa State Aviation Technical University| Institut national des sciences appliquées de Rouen Normandie","60001458| 60031888| 60113856| 60025927| 60122724| 60122724","Ufa State Aviation Technical University| Saint Petersburg State University| IMDEA Materials Institute| Institut National Des Sciences Appliquées de Rouen Normandie| GPM - Groupe de Physique des matériaux| GPM - Groupe de Physique des matériaux","Spain| France| Russian Federation","2210| 2211| 2500","Mechanical Engineering| Mechanics of Materials| General Materials Science","Microstructure,Steel,Austenite","20","Equal Channel Angular Pressing,Superplasticity,Grain Refinement","84","97.456","99.373"
"Ultrafine Grained Structures Resulting from SPD-Induced Phase Transformation in Al-Zn Alloys","Sauvage, X.| Murashkin, M.Y.| Straumal, B.B.| Bobruk, E.V.| Valiev, R.Z.","5","6602886698| 6602585059| 7007135183| 6508090854| 7103235084","2015","Advanced Engineering Materials","2.77","82","71","2.42","3","10","Sauvage, X., Murashkin, M.Y., Straumal, B.B. and 2 more (...) (2015).Ultrafine Grained Structures Resulting from SPD-Induced Phase Transformation in Al-Zn Alloys. Advanced Engineering Materials,17(12) 1821-1827","https://www.scopus.com/record/display.url?eid=2-s2.0-84951758990&origin=resultslist","10.1002/adem.201500151","Article","2-s2.0-84951758990","Université de Rouen| Russian Academy of Sciences| Moscow Institute of Physics and Technology| Peter the Great St. Petersburg Polytechnic University| National University of Science and Technology ""MISiS""| Ufa State Aviation Technical University| Institut national des sciences appliquées de Rouen Normandie","60025927| 60122724| 60122724| 60001458| 60000308| 60068681| 60021331| 60017103","Institut National Des Sciences Appliquées de Rouen Normandie| GPM - Groupe de Physique des matériaux| GPM - Groupe de Physique des matériaux| Ufa State Aviation Technical University| Moscow Institute of Physics and Technology| National University of Science & Technology (MISIS)| Russian Academy of Sciences| Peter the Great St. Petersburg Polytechnic University","France| Russian Federation","2500| 3104","General Materials Science| Condensed Matter Physics","Microstructure,Steel,Austenite","20","Equal Channel Angular Pressing,Superplasticity,Grain Refinement","84","97.456","99.373"
