

"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"Designing of compact low frequency vibration isolator with quasi-zero-stiffness","Valeev, A.| Zotov, A.| Kharisov, S.","3","53882117100| 7006610155| 56894649900","2015","Journal of Low Frequency Noise Vibration and Active Control","0.59","25","37","2.73","7","9","Valeev, A., Zotov, A., Kharisov, S. (2015).Designing of compact low frequency vibration isolator with quasi-zero-stiffness. Journal of Low Frequency Noise Vibration and Active Control,34(4) 459-474","https://www.scopus.com/record/display.url?eid=2-s2.0-84950974879&origin=resultslist","10.1260/0263-0923.34.4.459","Article","2-s2.0-84950974879","Ufa State Petroleum Technological University","60001457","Ufa State Petroleum Technological University","Russian Federation","1908| 2205| 2210| 2211| 2215| 3102","Geophysics| Civil and Structural Engineering| Mechanical Engineering| Mechanics of Materials| Building and Construction| Acoustics and Ultrasonics","Vibration Control,Magnetorheological Fluids,Automobile Suspensions","652","Vibration Isolators,Harmonic Balance,Stiffness","26762","68.34","93.252"
"Environment for the formation of shale oil and gas accumulations in low-permeability sequences of the Maikop series, Fore-Caucasus","Kerimov, V.Yu.| Mustaev, R.N.| Yandarbiev, N.Sh.| Movsumzade, E.M.","4","56308832900| 56400854700| 23480670700| 6603494142","2017","Oriental Journal of Chemistry","1.14","30","35","2.85","4","8","Kerimov, V.Yu., Mustaev, R.N., Yandarbiev, N.Sh. and 1 more (...) (2017).Environment for the formation of shale oil and gas accumulations in low-permeability sequences of the Maikop series, Fore-Caucasus. Oriental Journal of Chemistry,33(2) 879-892","https://www.scopus.com/record/display.url?eid=2-s2.0-85019880229&origin=resultslist","10.13005/ojc/330237","Article","2-s2.0-85019880229","Ufa State Petroleum Technological University| Lomonosov Moscow State University| I.M. Gubkin Russian State University of Oil and Gas","60010055| 60007457| 60001457","National University of Oil and Gas «Gubkin University»| Lomonosov Moscow State University| Ufa State Petroleum Technological University","Russian Federation","1303| 1600| 2304| 3002","Biochemistry| General Chemistry| Environmental Chemistry| Drug Discovery","Lakes,Gold,Ore Deposits","1083","Nepa,Riphean,Catagenesis","58572","11.981","76.43"
"Parameters of Damping of Vibrations of Tubing String in the Operation of Bottomhole Pulse Devices","Khabibullin, M.Y.| Suleimanov, R.I.| Sidorkin, D.I.| Arslanov, I.G.","4","57212314516| 57195838256| 57191582337| 57193489938","2017","Chemical and Petroleum Engineering","1.59","39","35","3.16","4","7","Khabibullin, M.Y., Suleimanov, R.I., Sidorkin, D.I. and 1 more (...) (2017).Parameters of Damping of Vibrations of Tubing String in the Operation of Bottomhole Pulse Devices. Chemical and Petroleum Engineering,53(5-6) 378-384","https://www.scopus.com/record/display.url?eid=2-s2.0-85029906538&origin=resultslist","10.1007/s10556-017-0350-6","Article","2-s2.0-85029906538","Ufa State Petroleum Technological University","60001457","Ufa State Petroleum Technological University","Russian Federation","1500| 1906| 2102| 2103","General Chemical Engineering| Geochemistry and Petrology| Energy Engineering and Power Technology| Fuel Technology","Drilling,Drilling Fluids,Well Drilling","866","Drill Strings,Bottom-Hole Assembly,Stick-Slip","5122","38.487","94.963"
"Management of investment attractiveness of enterprises: Principles, methods, organization","Akhmetshin, E.M.| Artemova, E.I.| Vermennikova, L.V.| Shichiyakh, R.A.| Prodanova, N.A.| Kuchukova, N.M.","6","56027651200| 57094022900| 57200043806| 57094051900| 57191251129| 57220323715","2017","International Journal of Applied Business and Economic Research","7.7","239","33","4.97","5","3","Akhmetshin, E.M., Artemova, E.I., Vermennikova, L.V. and 3 more (...) (2017).Management of investment attractiveness of enterprises: Principles, methods, organization. International Journal of Applied Business and Economic Research,15(23) 71-82","https://www.scopus.com/record/display.url?eid=2-s2.0-85038944393&origin=resultslist","-","Article","2-s2.0-85038944393","Ufa State Petroleum Technological University| Kazan Volga Region Federal University| Kuban State Technological University| Kuban State Agrarian University| Plekhanov Russian University of Economics","60070941| 60005163| 60069628| 60030998| 60001457","Kazan Federal University| Kuban State Agrarian University| Kuban State Technological University| Plekhanov Russian University of Economics| Ufa State Petroleum Technological University","Russian Federation","1403| 2002","Business and International Management| Economics and Econometrics","Students,Russian,Education","1114","Agroindustrial Complex,Eurasian Economic Union,EAEU","27875","77.644","99.247"
"Clustering as a criterion for the success of modern industrial enterprises","Akhmetshin, E.M.| Kolpak, E.P.| Sulimova, E.A.| Kireev, V.S.| Samarina, E.A.| Solodilova, N.Z.","6","56027651200| 56027963000| 56872963500| 57189519515| 57200039079| 56470783500","2017","International Journal of Applied Business and Economic Research","4.09","127","32","4.82","5","3","Akhmetshin, E.M., Kolpak, E.P., Sulimova, E.A. and 3 more (...) (2017).Clustering as a criterion for the success of modern industrial enterprises. International Journal of Applied Business and Economic Research,15(23) 221-231","https://www.scopus.com/record/display.url?eid=2-s2.0-85038933529&origin=resultslist","-","Article","2-s2.0-85038933529","Ufa State Petroleum Technological University| Kazan Volga Region Federal University| St. Petersburg State University| Moscow Engineering Physics Institute| Plekhanov Russian University of Economics","60070941| 60031888| 60030998| 60068673| 60001457","Kazan Federal University| Saint Petersburg State University| Plekhanov Russian University of Economics| National Research Nuclear University MEPhI| Ufa State Petroleum Technological University","Russian Federation","1403| 2002","Business and International Management| Economics and Econometrics","Students,Russian,Education","1114","Agroindustrial Complex,Eurasian Economic Union,EAEU","27875","77.644","99.247"
"Rationale for trends in increasing oil reserves depletion in western Siberia cretaceous deposits based on targets identification","Mukhametshin, V.V.","1","57203543434","2018","Bulletin of the Tomsk Polytechnic University, Geo Assets Engineering","1.52","35","32","4.71","3","4","Mukhametshin, V.V. (2018).Rationale for trends in increasing oil reserves depletion in western Siberia cretaceous deposits based on targets identification. Bulletin of the Tomsk Polytechnic University, Geo Assets Engineering,329(5) 117-124","https://www.scopus.com/record/display.url?eid=2-s2.0-85048015596&origin=resultslist","-","Article","2-s2.0-85048015596","Ufa State Petroleum Technological University","60001457","Ufa State Petroleum Technological University","Russian Federation","1905| 1909| 2103| 2308| 2311| 2501","Economic Geology| Geotechnical Engineering and Engineering Geology| Fuel Technology| Management, Monitoring, Policy and Law| Waste Management and Disposal| Materials Science (miscellaneous)","Liquefied Natural Gas,Gases,Liquefaction","1460","Oil Recovery,Oil Well Flooding,Horizontal Wells","91864","21.821","80.108"
"Physicochemical properties of shale strata in the Maikop series of Ciscaucasia","Kerimov, V.Y.| Lapidus, A.L.| Yandarbiev, N.S.| Movsumzade, E.M.| Mustaev, R.N.","5","56308832900| 7102987800| 23480670700| 6603494142| 56400854700","2017","Solid Fuel Chemistry","1.48","40","31","2.5","5","10","Kerimov, V.Y., Lapidus, A.L., Yandarbiev, N.S. and 2 more (...) (2017).Physicochemical properties of shale strata in the Maikop series of Ciscaucasia. Solid Fuel Chemistry,51(2) 122-130","https://www.scopus.com/record/display.url?eid=2-s2.0-85018329901&origin=resultslist","10.3103/S0361521917020057","Article","2-s2.0-85018329901","Ufa State Petroleum Technological University| Lomonosov Moscow State University| I.M. Gubkin Russian State University of Oil and Gas","60010055| 60007457| 60001457","National University of Oil and Gas «Gubkin University»| Lomonosov Moscow State University| Ufa State Petroleum Technological University","Russian Federation","1500| 1600| 2103","General Chemical Engineering| General Chemistry| Fuel Technology","Lakes,Gold,Ore Deposits","1083","Nepa,Riphean,Catagenesis","58572","11.981","76.43"
"EPR study of spectra transformations of the intrinsic vanadyl-porphyrin complexes in heavy crude oils with temperature to probe the asphaltenes' aggregation","Gafurov, M.R.| Volodin, M.A.| Rodionov, A.A.| Sorokina, A.T.| Dolomatov, M.Y.| Petrov, A.V.| Vakhin, A.V.| Mamin, G.V.| Orlinskii, S.B.","9","7003858686| 37862171600| 55838511037| 57192897408| 6603583462| 57192422163| 56388644200| 6508059688| 6603460368","2018","Journal of Petroleum Science and Engineering","5.69","120","26","3.43","4","6","Gafurov, M.R., Volodin, M.A., Rodionov, A.A. and 6 more (...) (2018).EPR study of spectra transformations of the intrinsic vanadyl-porphyrin complexes in heavy crude oils with temperature to probe the asphaltenes' aggregation. Journal of Petroleum Science and Engineering,166363-368","https://www.scopus.com/record/display.url?eid=2-s2.0-85043984470&origin=resultslist","10.1016/j.petrol.2018.02.045","Article","2-s2.0-85043984470","Ufa State Petroleum Technological University| Kazan Volga Region Federal University| Bashkir State University","60070941| 107713271| 60001414| 60001457| 113995578","Kazan Federal University| Sakhalin Energy Investment Company Ltd.| Baskirskij Gosudarstvennyj Universitet| Ufa State Petroleum Technological University| Institute of Petroleum Refining and Petrochemistry","Russian Federation","1909| 2103","Geotechnical Engineering and Engineering Geology| Fuel Technology","Photochemotherapy,Porphyrins,Photosensitizing Agents","314","Asphaltenes,Vanadates,Porphyrins","16831","78.648","81.986"
"Electronic structure of graphene– and BN–supported phosphorene","Davletshin, A.R.| Ustiuzhanina, S.V.| Kistanov, A.A.| Saadatmand, D.| Dmitriev, S.V.| Zhou, K.| Korznikova, E.A.","7","57204528649| 57200299223| 55046040500| 36993321500| 7102791521| 54954093200| 9939896100","2018","Physica B: Condensed Matter","3.85","67","25","3.4","4","6","Davletshin, A.R., Ustiuzhanina, S.V., Kistanov, A.A. and 4 more (...) (2018).Electronic structure of graphene– and BN–supported phosphorene. Physica B: Condensed Matter,53463-67","https://www.scopus.com/record/display.url?eid=2-s2.0-85040702678&origin=resultslist","10.1016/j.physb.2018.01.039","Article","2-s2.0-85040702678","Ufa State Petroleum Technological University| Agency for Science, Technology and Research| Tomsk State University| University of Sistan and Baluchistan| Nanyang Technological University| Russian Academy of Sciences","60001457| 60021331| 60028722| 60005510| 60031307| 60025710| 60004678| 60027682| 60016896","Ufa State Petroleum Technological University| Russian Academy of Sciences| Institute for Metals Superplasticity Problems of RAS| Nanyang Technological University| School of Mechanical and Aerospace Engineering| Agency for Science, Technology and Research, Singapore| A-Star, Institute of High Performance Computing| University of Sistan and Baluchestan| Tomsk State University","Singapore| Russian Federation| Iran","2208| 2504| 3104","Electrical and Electronic Engineering| Electronic, Optical and Magnetic Materials| Condensed Matter Physics","Graphene,Carbon Nanotubes,Nanotubes","22","Carrier Mobility,Phosphorus,Van Der Waals","8882","99.866","99.932"
"The analysis of opportunities of construction and use of avionic systems based on cots-modules","Bondarev, A.V.| Muravyova, E.A.| Kadyrov, R.R.| Rahman, P.A.","4","57195249417| 56512042300| 57189729234| 57117503700","2016","ARPN Journal of Engineering and Applied Sciences","2.28","45","24","3.25","10","6","Bondarev, A.V., Muravyova, E.A., Kadyrov, R.R. and 1 more (...) (2016).The analysis of opportunities of construction and use of avionic systems based on cots-modules. ARPN Journal of Engineering and Applied Sciences,11(1) 78-92","https://www.scopus.com/record/display.url?eid=2-s2.0-85000443605&origin=resultslist","-","Article","2-s2.0-85000443605","Ufa State Petroleum Technological University| Orenburg State University","60020684| 60001457","Orenburg State University| Ufa State Petroleum Technological University","Russian Federation","2200","General Engineering","Decision Making,Fuzzy Sets,Models","211","Interval Systems,Solution Set,Invexity","20773","93.307","82.708"
