

"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"A New Mode of Operation of Pd-NHC Systems Studied in a Catalytic Mizoroki-Heck Reaction","Astakhov, A.V.| Khazipov, O.V.| Chernenko, A.Yu.| Pasyukov, D.V.| Kashin, A.S.| Gordeev, E.G.| Khrustalev, V.N.| Chernyshev, V.M.| Ananikov, V.P.","9","13907465700| 55371230600| 56954699500| 57194491598| 24399139300| 14219137700| 35466863600| 57090009300| 35481645700","2017","Organometallics","9.05","207","66","6.48","2","2","Astakhov, A.V., Khazipov, O.V., Chernenko, A.Yu. and 6 more (...) (2017).A New Mode of Operation of Pd-NHC Systems Studied in a Catalytic Mizoroki-Heck Reaction. Organometallics,36(10) 1981-1992","https://www.scopus.com/record/display.url?eid=2-s2.0-85020425278&origin=resultslist","10.1021/acs.organomet.7b00184","Article","2-s2.0-85020425278","Platov South-Russian State Polytechnic University| RAS - Zelinsky Institute of Organic Chemistry| Russian Academy of Sciences| People's Friendship University of Russia","60070958| 60014039| 60021331| 60015024","Platov South-Russian State Polytechnic University (NPI)| N.D. Zelinsky Institute of Organic Chemistry, Russian Academy of Sciences| Russian Academy of Sciences| RUDN University","Russian Federation","1604| 1605| 1606","Inorganic Chemistry| Organic Chemistry| Physical and Theoretical Chemistry","Catalysis,Synthesis (Chemical),Catalysts","4","Carbenes,Heterocyclics,Suzuki Reaction","322","99.732","99.42"
"Conversion of plant biomass to furan derivatives and sustainable access to the new generation of polymers, functional materials and fuels","Chernyshev, V.M.| Kravchenko, O.A.| Ananikov, V.P.","3","57090009300| 57190343115| 35481645700","2017","Russian Chemical Reviews","2.02","127","39","0.63","4","41","Chernyshev, V.M., Kravchenko, O.A., Ananikov, V.P. (2017).Conversion of plant biomass to furan derivatives and sustainable access to the new generation of polymers, functional materials and fuels. Russian Chemical Reviews,86(5) 357-387","https://www.scopus.com/record/display.url?eid=2-s2.0-85020272722&origin=resultslist","10.1070/RCR4700","Review","2-s2.0-85020272722","Platov South-Russian State Polytechnic University| RAS - Zelinsky Institute of Organic Chemistry| Russian Academy of Sciences","60070958| 60021331| 60014039","Platov South-Russian State Polytechnic University (NPI)| Russian Academy of Sciences| N.D. Zelinsky Institute of Organic Chemistry, Russian Academy of Sciences","Russian Federation","1600","General Chemistry","Catalysts,Zeolites,Hydrogenation","7","Hydroxymethylfurfural,Levulinic Acids,Ethyl Levulinate","1144","99.531","99.948"
"Determination of weber-ampere characteristic for electrical devices based on the solution of har-monic balance inverse problem","Lankin, A.M.| Lankin, M.V.| Gorbatenko, N.I.| Shayhutdinov, D.V.","4","57038765400| 57163565200| 8715495700| 53664477800","2015","International Journal of Applied Engineering Research","3.16","59","34","8.93","8","1","Lankin, A.M., Lankin, M.V., Gorbatenko, N.I. and 1 more (...) (2015).Determination of weber-ampere characteristic for electrical devices based on the solution of har-monic balance inverse problem. International Journal of Applied Engineering Research,10(3) 6509-6519","https://www.scopus.com/record/display.url?eid=2-s2.0-84926435360&origin=resultslist","-","Article","2-s2.0-84926435360","Platov South-Russian State Polytechnic University","60070958","Platov South-Russian State Polytechnic University (NPI)","Russian Federation","2200","General Engineering","Tomography,Electric Impedance Tomography,Electric Impedance Measurement","1055","Computer Assisted Impedance Tomography,Harmonic Balance,Magnets","97403","39.491","46.042"
"Sustainable Utilization of Biomass Refinery Wastes for Accessing Activated Carbons and Supercapacitor Electrode Materials","Chernysheva, D.V.| Chus, Y.A.| Klushin, V.A.| Lastovina, T.A.| Pudova, L.S.| Smirnova, N.V.| Kravchenko, O.A.| Chernyshev, V.M.| Ananikov, V.P.","9","55918764100| 57204161932| 57190338954| 26536272700| 57203242974| 16415361500| 57190343115| 57090009300| 35481645700","2018","ChemSusChem","6.66","183","33","3.14","3","7","Chernysheva, D.V., Chus, Y.A., Klushin, V.A. and 6 more (...) (2018).Sustainable Utilization of Biomass Refinery Wastes for Accessing Activated Carbons and Supercapacitor Electrode Materials. ChemSusChem,11(20) 3599-3608","https://www.scopus.com/record/display.url?eid=2-s2.0-85054721624&origin=resultslist","10.1002/cssc.201801757","Article","2-s2.0-85054721624","Platov South-Russian State Polytechnic University| RAS - Zelinsky Institute of Organic Chemistry| Russian Academy of Sciences| Southern Federal University","60070958| 60025383| 60021331| 60014039","Platov South-Russian State Polytechnic University (NPI)| Southern Federal University| Russian Academy of Sciences| N.D. Zelinsky Institute of Organic Chemistry, Russian Academy of Sciences","Russian Federation","1500| 2100| 2304| 2500","General Chemical Engineering| General Energy| Environmental Chemistry| General Materials Science","Secondary Batteries,Electric Batteries,Lithium Alloys","30","Electrochemical Capacitors,Electrode Materials,Carbon Nanofibers","371","100","99.974"
"Facile Hydrolysis of Nickel(II) Complexes with N-Heterocyclic Carbene Ligands","Astakhov, A.V.| Khazipov, O.V.| Degtyareva, E.S.| Khrustalev, V.N.| Chernyshev, V.M.| Ananikov, V.P.","6","13907465700| 55371230600| 56985653100| 35466863600| 57090009300| 35481645700","2015","Organometallics","4.63","126","33","1.71","8","16","Astakhov, A.V., Khazipov, O.V., Degtyareva, E.S. and 3 more (...) (2015).Facile Hydrolysis of Nickel(II) Complexes with N-Heterocyclic Carbene Ligands. Organometallics,34(24) 5759-5766","https://www.scopus.com/record/display.url?eid=2-s2.0-84953254293&origin=resultslist","10.1021/acs.organomet.5b00856","Article","2-s2.0-84953254293","Platov South-Russian State Polytechnic University| RAS - Zelinsky Institute of Organic Chemistry| Russian Academy of Sciences| RAS - A.N. Nesmeyanov Institute of Organoelement Compounds","60070958| 60014039| 60021331| 60021331| 60030978","Platov South-Russian State Polytechnic University (NPI)| N.D. Zelinsky Institute of Organic Chemistry, Russian Academy of Sciences| Russian Academy of Sciences| Russian Academy of Sciences| A.N.Nesmeyanov Institute of Organoelement Compounds of Russian Academy of Sciences","Russian Federation","1604| 1605| 1606","Inorganic Chemistry| Organic Chemistry| Physical and Theoretical Chemistry","Catalysis,Synthesis (Chemical),Catalysts","4","Carbenes,Heterocyclics,Suzuki Reaction","322","99.732","99.42"
"Complex predict fault diagnostics of electromagnetic actuators based on the Principle Component Analyses","Shaykhutdinov, D.| Lankin, A.| Narakidze, N.| Grechikhin, V.| Shirokov, K.| Gorbatenko, N.","6","53664477800| 57038765400| 57193708715| 6603384958| 55968233300| 8715495700","2015","Research Journal of Applied Sciences","2.46","55","31","3.88","9","5","Shaykhutdinov, D., Lankin, A., Narakidze, N. and 3 more (...) (2015).Complex predict fault diagnostics of electromagnetic actuators based on the Principle Component Analyses. Research Journal of Applied Sciences,10(10) 555-557","https://www.scopus.com/record/display.url?eid=2-s2.0-84953246206&origin=resultslist","10.3923/rjasci.2015.555.557","Article","2-s2.0-84953246206","Platov South-Russian State Polytechnic University","60070958","Platov South-Russian State Polytechnic University (NPI)","Russian Federation","1600| 2200| 3100","General Chemistry| General Engineering| General Physics and Astronomy","Tomography,Electric Impedance Tomography,Electric Impedance Measurement","1055","Computer Assisted Impedance Tomography,Harmonic Balance,Magnets","97403","39.491","46.042"
"The impact of Al2O3 promoter on an efficiency of C5+ hydrocarbons formation over Co/SiO2 catalysts via Fischer-Tropsch synthesis","Savost'yanov, A.P.| Yakovenko, R.E.| Sulima, S.I.| Bakun, V.G.| Narochnyi, G.B.| Chernyshev, V.M.| Mitchenko, S.A.","7","6506101858| 49061667800| 57184064200| 6602948981| 9133466700| 57090009300| 7004432184","2017","Catalysis Today","2.71","77","28","1.49","6","19","Savost'yanov, A.P., Yakovenko, R.E., Sulima, S.I. and 4 more (...) (2017).The impact of Al2O3 promoter on an efficiency of C5+ hydrocarbons formation over Co/SiO2 catalysts via Fischer-Tropsch synthesis. Catalysis Today,279107-114","https://www.scopus.com/record/display.url?eid=2-s2.0-85027931985&origin=resultslist","10.1016/j.cattod.2016.02.037","Article","2-s2.0-85027931985","Platov South-Russian State Polytechnic University| NASU - Lytvynenko Institute of Physical Organic Chemistry and Coal Chemistry","60070958| 60084609","Platov South-Russian State Polytechnic University (NPI)| L.M. Litvinenko Institute of Physical Organic and Coal Chemistry, National Academy of Sciences of Uk","Russian Federation| Ukraine","1503| 1600","Catalysis| General Chemistry","Catalysts,Zeolites,Hydrogenation","7","Fischer-Tropsch Reaction,Light Olefins,Synthesis Gas","101","99.531","99.631"
"Fast and Slow Release of Catalytically Active Species in Metal/NHC Systems Induced by Aliphatic Amines","Khazipov, O.V.| Shevchenko, M.A.| Chernenko, A.Y.| Astakhov, A.V.| Pasyukov, D.V.| Eremin, D.B.| Zubavichus, Y.V.| Khrustalev, V.N.| Chernyshev, V.M.| Ananikov, V.P.","10","55371230600| 57196263441| 56954699500| 13907465700| 57194491598| 55880954100| 16308557600| 35466863600| 57090009300| 35481645700","2018","Organometallics","6.59","129","25","3.45","4","6","Khazipov, O.V., Shevchenko, M.A., Chernenko, A.Y. and 7 more (...) (2018).Fast and Slow Release of Catalytically Active Species in Metal/NHC Systems Induced by Aliphatic Amines. Organometallics,37(9) 1483-1492","https://www.scopus.com/record/display.url?eid=2-s2.0-85046965332&origin=resultslist","10.1021/acs.organomet.8b00124","Article","2-s2.0-85046965332","Platov South-Russian State Polytechnic University| Russian Research Centre Kurchatov Institute| RAS - Zelinsky Institute of Organic Chemistry| Russian Academy of Sciences| People's Friendship University of Russia","60070958| 60014039| 60021331| 60020943| 60015024","Platov South-Russian State Polytechnic University (NPI)| N.D. Zelinsky Institute of Organic Chemistry, Russian Academy of Sciences| Russian Academy of Sciences| ""National Research Centre ""Kurchatov Institute""""| RUDN University","Russian Federation","1604| 1605| 1606","Inorganic Chemistry| Organic Chemistry| Physical and Theoretical Chemistry","Catalysis,Synthesis (Chemical),Catalysts","4","Carbenes,Heterocyclics,Suzuki Reaction","322","99.732","99.42"
"Inorganic Phase Transformation in Miscanthus Ash","Kaknics, J.| Defoort, F.| Poirier, J.","3","55322994500| 10041887200| 12791059500","2015","Energy and Fuels","1.14","34","25","1.65","12","17","Kaknics, J., Defoort, F., Poirier, J. (2015).Inorganic Phase Transformation in Miscanthus Ash. Energy and Fuels,29(10) 6433-6442","https://www.scopus.com/record/display.url?eid=2-s2.0-84945205853&origin=resultslist","10.1021/acs.energyfuels.5b01189","Article","2-s2.0-84945205853","Platov South-Russian State Polytechnic University| CEA","60070958| 60011447","Platov South-Russian State Polytechnic University (NPI)| CEA Grenoble","France","1500| 2102| 2103","General Chemical Engineering| Energy Engineering and Power Technology| Fuel Technology","Gasification,Pyrolysis,Coal","87","Fluidized Bed Combustors,Ashes,Gasification","4713","98.327","97.939"
"Pd and Pt Catalyst Poisoning in the Study of Reaction Mechanisms: What Does the Mercury Test Mean for Catalysis?","Chernyshev, V.M.| Astakhov, A.V.| Chikunov, I.E.| Tyurin, R.V.| Eremin, D.B.| Ranny, G.S.| Khrustalev, V.N.| Ananikov, V.P.","8","57090009300| 13907465700| 9333720000| 6507437169| 55880954100| 57205271916| 35466863600| 35481645700","2019","ACS Catalysis","6.8","146","25","3.39","2","7","Chernyshev, V.M., Astakhov, A.V., Chikunov, I.E. and 5 more (...) (2019).Pd and Pt Catalyst Poisoning in the Study of Reaction Mechanisms: What Does the Mercury Test Mean for Catalysis?. ACS Catalysis,9(4) 2984-2995","https://www.scopus.com/record/display.url?eid=2-s2.0-85063985812&origin=resultslist","10.1021/acscatal.8b03683","Article","2-s2.0-85063985812","Platov South-Russian State Polytechnic University| Russian Research Centre Kurchatov Institute| RAS - Zelinsky Institute of Organic Chemistry| Russian Academy of Sciences| People's Friendship University of Russia","60070958| 60014039| 60021331| 60020943| 60015024","Platov South-Russian State Polytechnic University (NPI)| N.D. Zelinsky Institute of Organic Chemistry, Russian Academy of Sciences| Russian Academy of Sciences| ""National Research Centre ""Kurchatov Institute""""| RUDN University","Russian Federation","1503| 1600","Catalysis| General Chemistry","Catalysis,Synthesis (Chemical),Catalysts","4","Suzuki Reaction,Nanocatalysts,Palladium","1979","99.732","99.622"
